"","number_of_peptides_A_3","number_of_peptides_B_3","number_of_peptides_A_1","number_of_peptides_B_2","number_of_peptides_A_2","number_of_peptides_B_1"
"926",9,6,8,7,10,8
"927",8,8,10,5,11,6
"928",12,8,9,9,10,5
"929",12,13,10,11,12,11
"930",6,13,4,11,5,11
"931",8,9,9,10,8,10
"932",11,11,11,10,10,12
"933",8,11,10,7,7,9
"934",11,7,10,9,12,3
"935",8,7,9,6,9,11
"936",11,6,8,2,8,2
"937",10,7,12,8,11,7
"938",3,11,4,12,4,11
"939",5,8,15,8,8,6
"940",11,9,10,6,10,10
"941",11,7,14,7,9,6
"942",10,5,7,6,9,5
"943",11,9,10,8,7,6
"944",14,9,13,8,11,12
"945",11,12,9,11,13,11
"946",13,9,5,9,11,12
"947",10,9,7,12,9,13
"948",10,11,6,8,7,10
"949",10,8,8,8,9,9
"950",11,10,9,9,9,9
"951",4,13,2,12,4,13
"952",10,10,12,11,10,10
"953",11,10,9,12,9,11
"954",9,11,6,11,8,9
"955",9,13,9,11,9,6
"957",6,11,12,11,9,12
"958",11,9,7,6,5,11
"959",5,14,5,11,4,12
"960",9,6,11,6,13,8
"961",7,7,10,6,9,10
"962",13,13,9,11,11,6
"963",9,9,10,10,11,10
"964",10,7,11,6,12,5
"965",7,3,13,2,9,6
"966",8,8,12,9,8,7
"967",8,8,8,9,9,6
"968",10,10,11,10,11,9
"969",7,9,12,6,9,11
"970",11,10,7,8,7,8
"971",9,14,11,10,9,12
"972",8,5,9,5,9,5
"973",12,12,9,10,10,10
"974",10,9,11,8,12,5
"975",7,11,5,7,12,8
"976",8,7,6,9,6,8
"977",7,7,10,7,8,8
"978",8,11,10,6,11,7
"979",2,9,1,11,3,11
"980",9,10,10,8,8,7
"981",8,12,5,9,6,6
"982",11,9,11,10,12,10
"983",7,9,8,8,6,8
"984",10,10,6,10,10,10
"985",14,9,13,9,11,9
"986",11,10,12,7,12,7
"987",10,10,9,7,5,6
"988",9,10,7,6,6,10
"989",12,9,10,7,11,8
"990",3,10,4,9,4,10
"991",12,7,9,6,9,7
"992",10,11,8,11,11,10
"993",11,13,11,8,11,9
"994",11,10,9,11,10,12
"995",8,13,8,9,13,9
"996",11,9,9,9,11,10
"997",13,2,11,7,10,4
"998",11,10,7,8,9,9
"999",8,8,9,12,10,9
"1000",15,7,14,11,15,10
"1001",5,11,5,13,5,11
"1002",8,9,7,8,7,7
"1003",8,12,5,9,11,7
"1004",10,3,5,2,7,5
"1005",11,10,8,10,9,8
"1006",10,7,6,6,8,7
"1007",7,9,8,11,9,7
"1008",10,9,5,7,7,7
"1009",14,6,6,10,10,3
"1010",8,9,9,11,11,12
"1011",7,10,8,7,9,8
"1012",10,14,11,13,7,12
"1013",10,7,7,11,9,9
"1014",9,10,10,9,10,9
"1015",9,11,8,9,8,9
"1016",6,10,4,7,6,5
"1017",10,9,10,8,9,8
"1018",10,13,7,12,11,10
"1019",10,9,7,10,11,9
"1020",8,9,7,5,6,7
"1021",9,11,8,10,8,8
"1022",7,9,7,8,6,6
"1023",8,6,8,10,9,10
"1024",9,7,8,8,6,11
"1025",7,9,8,7,8,9
"1026",11,11,13,12,13,14
"1027",11,8,7,6,10,5
"1028",10,8,8,9,10,10
"1029",12,13,10,9,9,10
"1030",9,5,7,7,6,2
"1031",9,11,8,11,10,10
"1032",9,7,11,7,13,10
"1033",6,8,7,7,5,5
"1034",6,8,6,8,6,7
"1035",9,7,12,6,8,8
"1036",8,10,8,8,8,8
"1037",10,8,6,6,6,8
"1038",11,7,13,8,8,8
"1039",13,11,12,8,9,12
"1040",12,8,8,10,8,10
"1041",6,9,8,7,9,9
"1042",11,10,8,8,11,11
"1043",8,10,8,10,7,9
"1044",13,12,12,14,10,13
"1045",10,4,6,6,11,5
"1046",9,7,8,2,7,3
"1047",11,12,5,8,8,8
"1048",11,9,6,5,4,3
"1049",10,9,6,9,8,8
"1050",10,9,7,8,5,6
"1051",2,9,3,11,4,7
"1052",10,12,9,9,8,8
"1053",7,7,12,8,9,8
"1054",11,8,6,3,10,7
"1055",10,10,10,13,8,13
"1056",11,8,10,7,11,8
"1057",8,9,9,9,11,10
"1058",8,7,6,6,10,9
"1059",9,9,9,6,7,9
"1060",8,7,8,7,7,8
"1061",10,10,8,10,9,9
"1062",7,8,9,6,8,8
"1063",9,12,11,10,11,11
"1064",7,7,8,9,10,10
"1065",9,9,6,8,7,7
"1066",7,9,7,8,6,5
"1067",8,7,10,6,8,8
"1068",9,8,9,7,8,8
"1069",11,12,10,12,10,11
"1070",9,9,9,6,9,6
"1071",9,8,7,5,7,10
"1072",9,8,10,11,10,9
"1073",7,7,4,7,7,9
"1074",7,10,9,9,9,8
"1075",8,9,10,9,10,7
"1076",7,8,5,6,7,7
"1077",8,6,9,10,7,11
"1078",10,6,9,7,8,8
"1079",7,9,9,8,8,10
"1080",12,9,11,11,13,11
"1081",10,7,10,7,10,9
"1082",9,8,8,7,6,9
"1083",10,12,10,8,8,8
"1084",9,10,7,9,10,11
"1085",10,9,9,10,11,12
"1086",3,13,1,10,2,12
"1087",12,11,10,13,9,10
"1088",10,9,10,11,12,8
"1089",9,10,3,7,9,5
"1090",1,15,2,9,1,8
"1091",9,9,7,7,9,6
"1092",10,10,11,10,10,13
"1093",7,7,6,7,7,8
"1094",4,7,8,7,8,9
"1095",4,7,6,9,4,5
"1096",8,8,10,9,9,10
"1097",7,8,7,8,7,8
"1098",6,7,10,9,9,10
"1099",12,11,11,12,14,11
"1100",9,9,9,9,9,11
"1101",5,7,6,9,5,8
"1102",10,9,10,8,9,10
"1103",10,11,11,10,10,7
"1104",9,10,9,9,10,10
"1105",10,9,7,9,8,11
"1106",9,8,7,9,9,9
"1107",7,9,5,8,5,5
"1108",13,12,10,11,11,11
"1109",6,9,6,4,5,7
"1110",7,9,10,6,10,5
"1111",9,9,8,8,6,12
"1112",8,9,9,9,8,7
"1113",6,8,10,8,7,9
"1114",7,6,10,4,9,7
"1115",5,7,7,6,3,7
"1116",4,5,7,5,3,5
"1117",8,10,7,8,7,11
"1118",7,9,7,10,9,11
"1119",9,5,9,5,10,3
"1120",8,9,10,5,9,8
"1121",4,10,3,8,3,9
"1122",9,7,5,4,6,10
"1123",11,9,11,10,10,7
"1124",9,5,5,9,8,9
"1125",7,8,10,10,9,10
"1126",9,11,10,10,10,10
"1127",11,7,13,7,12,10
"1128",7,5,10,7,7,4
"1129",6,7,10,8,9,8
"1130",9,7,5,5,7,6
"1131",9,11,7,10,9,8
"1132",8,9,6,9,5,9
"1133",8,7,10,12,9,11
"1134",7,7,10,5,8,6
"1135",8,7,9,8,7,8
"1136",9,10,8,8,8,8
"1137",8,11,9,9,7,7
"1138",8,7,5,7,6,6
"1139",3,10,6,6,4,7
"1140",9,11,8,6,8,8
"1141",9,8,9,9,9,8
"1142",8,11,12,9,10,10
"1143",10,11,6,7,9,10
"1144",5,8,5,6,5,8
"1145",9,9,8,7,8,11
"1146",10,12,8,10,6,6
"1147",7,6,7,5,5,6
"1148",10,10,7,9,8,8
"1149",11,10,8,7,8,7
"1150",9,9,11,7,5,8
"1151",8,11,11,6,7,10
"1152",7,9,7,11,7,9
"1153",6,11,5,8,5,7
"1154",5,9,9,7,4,7
"1155",7,9,8,8,6,8
"1156",10,6,10,7,9,9
"1157",7,6,7,7,8,7
"1158",9,9,5,6,6,7
"1159",7,9,7,12,7,7
"1160",10,8,7,6,5,4
"1161",10,8,9,10,10,10
"1162",10,9,9,7,10,8
"1163",9,8,4,8,8,7
"1164",12,3,8,7,6,3
"1165",6,8,2,8,4,5
"1166",10,8,9,9,8,10
"1167",4,6,9,4,8,8
"1168",6,10,7,7,8,7
"1169",7,8,8,9,7,8
"1170",7,6,6,7,6,7
"1171",7,7,6,9,11,8
"1172",10,11,4,7,7,5
"1173",7,8,5,5,7,8
"1174",7,9,8,8,7,7
"1175",8,8,10,9,8,8
"1176",8,8,7,5,7,7
"1177",11,12,10,10,7,10
"1178",9,8,8,6,7,9
"1179",9,6,9,6,9,6
"1180",10,4,7,8,8,5
"1181",5,10,4,6,5,8
"1182",9,8,10,9,11,9
"1183",9,8,11,10,10,11
"1184",9,10,6,9,9,8
"1185",6,10,8,8,4,9
"1186",8,10,9,8,8,8
"1187",9,9,8,9,9,9
"1188",9,9,5,9,4,6
"1189",5,3,7,1,6,5
"1190",9,6,9,6,10,8
"1191",6,5,6,6,6,8
"1192",8,11,8,11,8,9
"1193",9,7,5,10,8,7
"1194",9,9,12,8,11,8
"1195",10,5,6,4,10,5
"1196",8,9,4,9,9,9
"1197",5,7,5,5,5,7
"1198",8,7,5,8,8,6
"1199",6,7,6,7,8,7
"1200",10,6,8,5,9,5
"1201",9,4,9,5,7,4
"1202",10,11,9,7,8,5
"1203",8,9,9,9,8,8
"1204",5,6,11,5,11,6
"1205",11,7,9,6,8,6
"1206",8,10,8,11,7,10
"1207",12,8,9,9,9,6
"1208",3,10,3,10,3,7
"1209",7,10,7,9,8,6
"1211",4,8,4,6,3,7
"1212",8,12,8,8,8,7
"1213",10,7,5,8,4,8
"1214",5,6,9,5,6,5
"1215",10,5,7,7,8,4
"1216",8,11,10,10,10,10
"1217",10,6,10,7,7,6
"1218",6,7,7,9,7,6
"1219",11,5,9,4,10,3
"1220",10,10,9,9,9,10
"1221",11,11,6,7,7,6
"1222",9,6,7,5,7,3
"1223",8,9,3,5,7,7
"1224",9,12,6,8,6,8
"1225",10,4,7,4,6,4
"1226",11,7,5,7,6,4
"1227",8,7,8,10,7,9
"1228",9,6,8,7,7,8
"1229",10,9,7,7,6,10
"1230",10,10,6,7,3,4
"1231",8,4,7,6,6,6
"1232",10,9,7,9,6,7
"1233",6,6,8,6,10,10
"1234",5,7,7,7,7,9
"1235",7,6,8,8,2,7
"1236",11,9,7,8,8,8
"1237",6,8,7,7,8,9
"1238",8,8,7,8,4,5
"1239",8,8,5,9,5,7
"1240",9,8,6,8,6,8
"1241",5,4,10,4,7,8
"1242",10,6,8,6,11,8
"1243",6,5,9,4,3,5
"1244",7,9,5,7,5,7
"1245",6,10,9,7,8,8
"1246",10,3,7,4,8,5
"1248",4,5,6,5,6,5
"1249",6,8,7,6,8,8
"1250",9,3,9,5,8,5
"1251",4,6,6,7,5,4
"1252",6,7,5,6,6,6
"1253",7,8,3,4,5,5
"1254",6,7,5,5,5,8
"1255",8,9,8,8,8,8
"1256",7,5,6,7,5,8
"1257",8,8,8,7,8,9
"1258",8,7,5,7,5,4
"1259",9,10,10,10,9,11
"1260",9,7,4,8,5,5
"1261",4,6,3,9,2,7
"1262",8,7,7,7,9,7
"1263",8,6,8,3,8,7
"1264",9,6,9,4,7,6
"1265",6,5,10,5,4,6
"1266",7,7,5,6,7,6
"1267",6,7,7,8,6,5
"1268",7,8,8,5,6,7
"1269",10,10,7,8,8,7
"1270",11,8,6,6,5,7
"1271",6,2,9,3,8,3
"1272",7,8,6,4,6,9
"1273",3,11,2,8,3,8
"1274",7,7,8,8,6,6
"1275",7,8,5,6,3,7
"1276",9,7,6,9,7,7
"1277",8,4,7,2,5,5
"1278",9,10,7,10,11,6
"1279",8,11,6,8,6,7
"1280",7,6,7,8,5,8
"1281",5,9,4,7,5,8
"1282",5,7,7,9,5,9
"1283",8,13,6,11,8,8
"1284",12,8,7,7,8,6
"1285",8,7,7,10,6,8
"1286",6,5,8,6,6,7
"1287",9,8,8,8,7,10
"1288",7,5,6,8,5,4
"1289",9,9,6,9,8,7
"1290",9,8,9,8,8,8
"1291",7,9,5,7,8,8
"1292",6,1,6,2,10,1
"1293",6,6,8,3,7,3
"1294",7,7,6,8,6,10
"1295",7,8,10,10,6,8
"1296",8,4,8,4,10,6
"1297",10,8,7,6,8,6
"1298",11,9,8,5,8,7
"1299",6,8,7,7,7,6
"1300",7,9,7,9,6,6
"1301",7,7,8,8,5,5
"1302",9,5,7,7,8,5
"1303",5,6,5,7,6,9
"1304",5,4,6,2,7,3
"1305",2,9,1,9,1,7
"1306",8,3,10,3,4,2
"1307",5,4,5,7,5,9
"1308",10,4,4,5,8,1
"1309",8,9,6,8,6,6
"1310",9,9,5,7,6,5
"1311",9,7,6,8,6,6
"1312",7,8,6,9,8,9
"1313",7,5,7,3,6,6
"1314",7,6,10,5,6,7
"1315",7,6,9,6,7,7
"1316",9,9,9,7,8,9
"1317",6,9,9,8,7,7
"1318",8,6,6,6,7,7
"1319",6,8,6,6,5,7
"1320",11,8,8,8,9,8
"1321",9,8,9,7,9,9
"1322",6,3,8,3,8,6
"1323",5,5,9,4,7,4
"1324",6,3,9,5,11,5
"1325",10,7,8,9,6,5
"1326",5,9,8,6,4,8
"1327",7,7,6,6,4,4
"1328",8,7,6,5,7,6
"1329",5,8,6,6,5,6
"1330",6,8,8,9,6,6
"1331",7,8,7,4,7,7
"1332",4,7,4,5,7,6
"1333",9,8,8,10,9,6
"1334",7,6,10,9,7,7
"1335",4,8,4,8,1,8
"1336",10,4,9,4,5,3
"1337",11,11,5,10,7,7
"1338",8,8,8,7,7,6
"1339",4,6,4,7,4,7
"1340",8,6,5,5,7,6
"1341",8,6,9,6,8,8
"1342",9,7,8,9,6,8
"1343",4,8,9,6,4,7
"1344",10,10,7,8,11,9
"1345",9,10,6,8,5,7
"1346",11,2,5,5,5,4
"1347",4,6,6,8,7,7
"1348",6,9,4,7,4,5
"1349",7,10,5,9,6,9
"1350",8,5,6,5,4,6
"1351",6,7,10,6,7,7
"1352",9,6,8,8,7,5
"1353",10,10,10,8,12,7
"1354",4,8,4,10,6,7
"1355",6,4,8,3,11,2
"1356",8,8,5,7,3,7
"1357",10,6,7,5,8,4
"1358",4,5,6,4,7,4
"1359",11,10,7,7,7,8
"1360",8,8,6,8,5,7
"1361",8,7,6,6,6,8
"1362",1,6,2,6,3,11
"1363",7,7,3,9,7,9
"1364",11,6,9,8,9,8
"1365",7,7,6,5,9,6
"1366",7,7,3,7,6,5
"1367",8,6,6,8,7,4
"1368",7,8,7,6,5,7
"1369",5,6,7,7,8,6
"1370",7,1,9,5,8,2
"1371",7,8,9,9,9,8
"1372",10,10,9,8,5,9
"1373",6,4,4,7,6,4
"1374",7,4,7,3,11,4
"1375",5,9,6,6,6,8
"1376",7,10,7,6,4,7
"1377",7,10,7,9,7,6
"1378",7,7,7,9,8,8
"1379",9,10,6,7,9,10
"1380",7,6,6,7,7,6
"1381",3,5,7,5,3,5
"1383",7,7,7,4,5,5
"1384",7,10,3,9,1,5
"1385",7,6,12,6,8,6
"1386",9,7,7,5,7,3
"1387",5,2,4,5,7,3
"1388",6,8,6,5,6,8
"1389",6,6,8,8,7,7
"1390",9,9,8,10,8,10
"1391",6,7,6,6,5,6
"1392",5,5,4,4,5,6
"1393",9,6,5,3,4,7
"1394",5,4,7,4,7,4
"1395",5,7,5,7,6,9
"1396",9,6,10,8,7,3
"1397",8,6,8,6,9,8
"1398",7,8,7,5,6,8
"1399",8,7,6,8,8,7
"1400",6,6,6,5,4,7
"1401",7,7,3,8,5,6
"1402",5,6,7,8,10,9
"1403",6,6,8,5,7,5
"1404",11,3,6,4,7,5
"1405",7,6,4,8,5,7
"1406",6,5,11,6,7,4
"1407",7,7,6,7,5,6
"1408",7,8,5,6,9,6
"1409",6,5,5,5,6,5
"1410",7,6,8,3,5,1
"1411",6,7,7,7,8,11
"1412",8,6,11,6,8,6
"1413",5,7,6,4,5,7
"1414",6,9,7,5,6,7
"1415",8,8,9,7,7,8
"1416",5,7,3,6,2,5
"1417",4,6,4,6,4,4
"1418",7,5,5,6,7,9
"1419",7,7,8,7,7,6
"1420",7,9,7,6,7,7
"1421",9,6,7,8,8,9
"1422",8,7,10,8,7,9
"1424",4,9,4,8,4,7
"1425",6,6,8,6,8,4
"1426",7,7,7,9,8,7
"1427",8,8,6,8,5,8
"1428",8,7,8,7,9,7
"1429",5,9,6,9,6,5
"1430",7,7,8,7,9,7
"1431",8,8,9,8,7,7
"1432",9,7,9,7,3,9
"1433",2,11,2,7,3,6
"1434",7,9,6,9,6,5
"1435",7,7,7,6,7,7
"1436",7,8,6,10,4,4
"1437",8,7,9,6,7,5
"1438",7,5,7,5,8,6
"1439",4,5,5,4,8,8
"1440",6,6,7,5,6,6
"1441",5,1,8,3,6,4
"1442",8,2,9,5,10,3
"1444",8,8,10,8,8,7
"1445",5,5,9,2,9,4
"1446",10,5,7,8,8,4
"1447",6,5,9,4,7,6
"1448",4,7,6,7,5,5
"1449",5,4,8,7,7,4
"1450",7,8,5,6,5,6
"1451",7,8,5,4,8,6
"1452",9,8,9,9,9,9
"1453",6,7,7,4,5,8
"1454",8,3,8,4,7,5
"1455",5,4,4,3,7,3
"1456",4,6,8,7,9,8
"1457",7,11,6,9,6,8
"1458",6,7,4,7,8,5
"1459",9,7,6,9,5,7
"1460",5,9,5,7,4,6
"1461",7,8,9,8,8,7
"1462",7,10,9,8,11,8
"1463",9,6,6,7,9,5
"1464",9,8,7,7,9,9
"1465",6,8,8,6,5,8
"1466",4,6,8,7,7,8
"1467",3,2,3,2,3,8
"1468",3,7,6,6,6,7
"1469",7,9,5,4,4,6
"1470",6,7,7,3,8,7
"1471",5,6,7,6,6,6
"1472",7,3,7,2,7,2
"1473",1,7,1,10,1,9
"1474",2,4,6,5,4,5
"1475",6,7,7,9,8,8
"1476",7,5,5,5,7,7
"1478",9,9,7,9,9,7
"1479",2,5,4,9,5,7
"1480",6,4,9,4,8,5
"1481",8,5,10,6,6,8
"1482",9,8,7,6,8,7
"1483",7,7,7,5,6,5
"1485",7,5,9,6,9,4
"1486",7,8,7,8,8,6
"1487",6,7,5,9,6,5
"1488",5,4,5,6,4,3
"1489",5,7,6,7,11,3
"1490",4,5,3,7,6,6
"1491",9,9,7,5,7,5
"1492",6,7,7,7,7,5
"1493",7,3,7,6,5,4
"1494",9,7,8,8,9,10
"1495",6,5,6,5,5,6
"1496",3,6,4,5,4,6
"1497",6,5,3,6,6,6
"1498",6,8,6,5,6,8
"1499",9,7,8,7,8,7
"1500",7,4,9,4,7,5
"1501",6,6,6,7,5,7
"1503",7,6,7,7,7,5
"1504",7,7,5,7,6,8
"1505",10,8,3,2,6,3
"1506",3,5,8,7,5,7
"1507",4,6,7,6,4,6
"1508",8,8,5,9,4,5
"1509",9,5,6,6,6,4
"1510",3,3,2,3,5,5
"1511",6,8,5,9,5,7
"1512",8,6,7,7,6,6
"1513",10,5,6,3,6,1
"1514",1,8,1,9,1,8
"1515",7,5,6,2,5,3
"1516",9,4,7,5,7,3
"1517",9,8,7,9,6,8
"1518",8,7,8,6,7,6
"1519",10,9,6,6,6,6
"1520",6,9,3,8,5,7
"1521",6,7,6,7,6,6
"1522",5,8,6,9,6,5
"1523",7,9,6,7,4,9
"1524",6,6,5,4,6,6
"1525",6,6,6,5,6,5
"1526",7,7,5,7,7,8
"1527",7,5,7,4,7,8
"1528",9,4,8,6,9,6
"1529",6,7,4,6,7,4
"1530",4,5,6,4,6,4
"1531",4,6,6,6,7,5
"1532",9,11,8,9,8,10
"1533",5,7,4,5,7,5
"1534",5,5,5,6,5,7
"1535",8,6,6,5,6,4
"1536",7,7,4,6,8,4
"1537",8,4,4,5,7,2
"1538",8,9,8,7,8,6
"1539",2,8,1,5,3,6
"1540",6,5,5,5,5,3
"1541",5,5,6,4,7,5
"1542",8,8,5,5,3,7
"1543",8,6,4,3,5,6
"1544",7,7,6,8,8,7
"1545",7,6,6,10,8,6
"1546",7,5,6,5,6,5
"1547",3,5,6,2,3,4
"1548",4,6,8,4,6,4
"1549",7,3,7,3,7,3
"1550",9,9,10,10,9,10
"1551",6,4,7,9,6,10
"1552",7,6,1,4,7,4
"1553",7,8,5,5,5,4
"1554",9,5,9,6,5,6
"1555",6,1,9,2,8,4
"1556",5,3,7,4,6,4
"1557",4,5,7,6,7,6
"1558",6,7,8,8,6,6
"1559",6,5,4,5,3,4
"1560",7,8,6,5,7,5
"1561",2,7,3,6,3,3
"1562",8,8,6,8,8,5
"1563",8,8,6,6,6,6
"1565",7,8,4,5,7,6
"1566",5,3,8,3,7,1
"1567",1,9,2,10,2,8
"1568",6,4,9,6,9,2
"1569",7,5,5,6,6,3
"1570",7,8,4,5,4,5
"1571",5,6,4,5,6,3
"1572",6,9,5,8,7,5
"1573",7,8,6,8,7,6
"1574",6,5,4,8,6,7
"1575",6,5,6,4,4,3
"1576",4,8,1,4,4,2
"1577",4,4,5,3,6,5
"1578",6,5,5,8,6,7
"1579",7,6,6,6,6,4
"1580",9,4,7,3,4,4
"1581",4,4,3,2,3,3
"1582",4,5,2,3,4,6
"1583",7,3,8,2,8,5
"1584",9,4,4,4,5,1
"1585",5,5,8,3,7,6
"1586",4,10,7,8,6,6
"1587",7,7,7,7,8,6
"1588",7,5,5,6,6,5
"1589",5,5,8,6,5,5
"1590",5,6,6,4,8,8
"1591",6,8,8,7,8,8
"1592",7,3,7,5,6,5
"1593",6,6,7,7,9,6
"1595",4,5,4,4,5,7
"1596",4,4,3,4,3,4
"1597",5,9,3,5,5,6
"1598",7,5,6,7,6,5
"1599",8,8,8,8,8,7
"1600",6,7,8,6,7,7
"1601",4,7,7,5,3,5
"1602",3,4,6,2,5,5
"1603",8,6,9,7,7,4
"1604",7,7,3,5,6,9
"1605",9,9,8,7,9,9
"1606",6,6,6,6,5,6
"1607",5,6,4,6,6,5
"1608",7,7,6,9,3,5
"1609",4,7,3,3,3,6
"1610",6,1,5,1,5,1
"1611",5,7,5,4,7,6
"1612",6,3,4,2,4,2
"1613",5,3,8,3,4,2
"1614",8,4,5,1,5,1
"1615",8,3,8,4,7,4
"1616",5,6,6,9,5,6
"1617",4,4,4,5,4,7
"1618",5,6,6,7,3,5
"1619",8,8,8,7,8,5
"1621",7,10,6,7,8,8
"1622",6,5,6,6,6,6
"1623",9,8,7,10,6,8
"1624",7,6,6,7,7,7
"1625",7,6,4,4,4,6
"1626",5,8,7,8,5,7
"1627",7,4,6,3,4,2
"1628",5,7,8,6,7,7
"1629",8,8,7,4,10,5
"1630",6,8,5,8,6,5
"1631",7,7,5,2,5,7
"1632",3,7,3,6,6,7
"1633",6,6,5,5,6,3
"1634",9,9,9,8,8,7
"1635",6,8,4,7,8,6
"1636",4,7,8,7,9,7
"1637",6,5,6,8,6,7
"1638",8,7,6,7,7,7
"1639",5,9,4,6,7,6
"1640",7,7,7,7,8,8
"1641",9,8,6,5,11,6
"1642",5,6,5,4,7,4
"1643",6,4,6,7,5,4
"1644",9,4,7,3,5,3
"1645",5,6,6,6,5,5
"1646",3,8,2,7,3,5
"1647",8,2,7,3,6,3
"1648",5,4,3,4,1,6
"1649",4,5,4,6,6,4
"1650",8,7,9,4,8,4
"1651",5,6,5,5,6,7
"1652",7,7,7,6,7,6
"1653",8,4,7,4,8,1
"1654",6,2,7,2,7,3
"1655",5,7,8,7,5,8
"1656",8,4,9,5,7,5
"1657",5,6,7,6,4,9
"1658",5,8,6,5,6,7
"1659",7,7,8,6,4,6
"1660",5,6,5,6,5,6
"1661",3,6,3,3,2,4
"1662",7,4,5,8,5,5
"1663",5,7,7,8,7,10
"1664",7,9,4,5,5,5
"1665",6,5,4,2,5,3
"1666",9,7,8,7,5,8
"1667",8,6,7,5,6,7
"1668",8,5,6,3,7,5
"1669",8,2,6,1,6,2
"1670",5,4,6,3,4,6
"1671",8,6,4,6,6,5
"1672",2,5,5,6,3,7
"1673",7,7,7,8,8,6
"1674",8,3,5,3,8,3
"1675",7,5,8,5,8,5
"1676",9,6,2,4,3,6
"1678",6,7,4,3,4,5
"1679",5,6,5,6,7,3
"1680",7,6,3,7,5,5
"1681",8,3,4,4,9,2
"1682",5,3,2,5,1,8
"1683",6,8,7,7,8,8
"1684",9,7,10,6,6,7
"1685",8,6,5,2,2,5
"1686",7,5,7,7,6,4
"1687",5,5,8,3,8,4
"1688",5,6,5,6,7,5
"1689",8,4,4,6,6,7
"1690",5,8,6,4,7,6
"1691",7,6,7,8,5,6
"1692",6,6,5,4,3,7
"1693",6,3,5,3,6,1
"1694",6,5,6,3,6,2
"1695",3,4,6,8,5,6
"1696",5,9,5,4,4,5
"1697",6,5,3,4,5,4
"1698",7,5,3,5,7,3
"1699",5,5,5,5,6,3
"1700",6,8,9,6,7,8
"1701",8,5,6,4,5,3
"1702",4,5,4,3,5,5
"1703",5,5,7,7,3,4
"1704",3,4,4,4,6,6
"1705",6,9,4,7,7,7
"1706",7,7,5,8,6,6
"1707",5,5,9,4,4,3
"1708",4,6,6,7,5,7
"1709",3,9,3,6,3,6
"1710",6,6,5,5,3,5
"1711",9,7,10,8,9,6
"1713",7,8,6,4,5,7
"1714",6,6,4,7,5,1
"1715",8,1,7,2,5,3
"1716",6,6,8,4,6,5
"1717",5,9,6,7,5,5
"1718",5,7,6,6,5,6
"1719",3,3,5,5,5,6
"1720",4,7,7,7,3,7
"1721",7,4,6,6,5,3
"1722",5,4,4,4,7,3
"1723",6,5,4,5,4,5
"1724",9,6,8,7,8,7
"1725",5,6,5,8,5,5
"1726",7,5,5,4,6,6
"1727",7,6,5,5,7,6
"1728",6,6,7,5,5,5
"1729",1,6,6,4,3,7
"1730",5,3,5,5,6,5
"1731",5,7,5,3,5,3
"1732",6,5,5,5,7,3
"1733",5,5,4,7,5,5
"1734",6,7,2,6,3,5
"1735",4,8,2,2,6,3
"1736",5,4,7,3,4,4
"1737",7,6,3,3,3,5
"1738",9,9,7,7,6,9
"1739",6,4,8,5,6,1
"1740",6,3,5,5,5,8
"1741",3,5,4,7,2,3
"1742",6,6,5,6,5,6
"1743",7,7,7,8,9,7
"1744",4,7,4,5,5,8
"1745",6,7,8,6,3,7
"1746",5,5,5,3,3,4
"1747",5,6,7,7,5,6
"1748",6,6,4,6,6,5
"1749",3,3,4,6,5,2
"1750",7,6,6,6,6,5
"1751",9,7,8,7,8,7
"1752",4,4,6,5,6,4
"1753",5,6,7,6,7,7
"1754",6,6,7,7,6,6
"1755",6,5,3,4,3,5
"1756",7,4,4,2,4,3
"1757",6,6,8,6,5,6
"1758",6,5,4,6,5,6
"1759",5,6,8,7,5,7
"1761",7,8,5,7,7,7
"1762",5,6,5,7,5,7
"1763",6,6,3,6,5,4
"1764",4,4,7,6,5,5
"1765",7,9,4,7,7,8
"1766",8,5,6,5,8,8
"1767",1,6,4,5,3,6
"1768",5,6,6,5,6,7
"1769",6,4,6,4,4,3
"1770",3,6,4,4,5,4
"1771",6,5,4,7,5,5
"1772",5,6,7,6,6,6
"1773",5,6,7,6,5,7
"1774",3,5,7,3,6,2
"1775",8,7,3,4,4,6
"1776",8,7,5,8,7,6
"1777",5,7,5,5,6,6
"1778",7,5,5,5,6,5
"1779",7,3,8,2,6,5
"1780",4,4,7,7,5,5
"1781",3,6,2,8,2,7
"1782",6,6,6,4,5,6
"1783",5,4,4,7,4,7
"1784",6,5,5,7,6,7
"1785",7,3,4,3,6,2
"1786",7,9,5,9,7,5
"1787",7,4,5,2,6,3
"1788",7,4,9,5,9,3
"1789",8,7,7,7,6,8
"1790",3,8,5,7,4,7
"1791",6,4,1,4,3,6
"1792",5,7,5,5,6,4
"1793",7,6,4,6,3,5
"1794",7,5,7,4,8,5
"1795",6,6,6,5,8,7
"1796",6,4,8,3,7,3
"1797",6,7,3,4,4,5
"1798",6,4,7,7,6,8
"1799",7,7,6,6,4,6
"1800",7,5,5,8,5,4
"1801",5,8,6,5,2,4
"1802",4,4,5,3,7,6
"1803",3,6,3,5,5,5
"1804",5,4,6,4,8,5
"1805",5,5,5,6,6,7
"1806",7,7,8,9,8,7
"1807",4,4,5,6,6,5
"1808",7,4,7,5,6,3
"1809",4,5,4,3,2,3
"1810",5,5,5,4,5,5
"1811",9,7,6,4,6,6
"1812",5,7,8,6,7,7
"1813",4,6,3,2,4,6
"1814",4,7,6,6,7,5
