"","number_of_peptides_A_3","number_of_peptides_A_2","number_of_peptides_B_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_A_1"
"1244",13,14,9,8,9,13
"1245",11,8,11,7,11,7
"1247",6,7,6,7,6,4
"1248",11,11,11,8,8,10
"1249",4,3,7,7,6,5
"1251",11,11,11,13,14,11
"1252",11,13,11,11,10,13
"1253",22,15,19,17,24,16
"1254",13,12,13,11,14,13
"1255",26,23,25,21,26,21
"1260",11,7,8,11,8,11
"1261",8,6,7,6,8,8
"1262",7,10,6,6,6,7
"1263",22,19,23,22,21,17
"1264",21,16,20,19,22,22
"1265",8,8,5,7,7,9
"1266",19,17,19,19,20,21
"1269",9,9,10,8,9,12
"1270",13,9,11,12,8,10
"1271",16,17,13,18,17,14
"1272",28,29,36,33,31,29
"1273",18,21,14,12,17,23
"1274",22,20,15,18,19,20
"1275",18,21,25,21,19,16
"1276",18,17,14,14,13,16
"1278",7,5,7,6,5,6
"1279",7,7,10,8,10,10
"1280",14,11,9,13,12,12
"1281",4,4,3,2,3,3
"1282",13,11,12,11,12,15
"1283",8,10,7,6,8,9
"1284",16,15,16,14,15,14
"1286",6,7,5,5,5,6
"1290",43,36,46,40,36,38
"1291",20,24,21,19,18,24
"1292",29,19,27,24,28,20
"1293",14,12,15,14,12,10
"1295",13,8,13,12,13,12
"1296",9,8,9,8,10,10
"1297",22,13,19,19,19,15
"1298",10,11,7,5,10,7
"1299",3,6,5,2,6,4
"1301",9,6,17,16,16,9
"1304",8,7,5,4,9,4
"1305",10,10,9,12,11,10
"1307",15,10,10,7,7,11
"1308",16,15,16,16,17,14
"1310",7,10,7,6,3,12
"1311",16,14,19,13,17,11
"1313",9,6,9,10,8,9
"1315",12,10,18,9,13,10
"1316",11,8,9,8,7,10
"1318",8,8,5,9,6,5
"1319",7,5,6,7,7,8
"1321",9,8,7,7,8,7
"1323",19,19,14,13,15,18
"1324",5,6,4,6,6,7
"1326",8,6,2,5,4,5
"1327",14,11,6,10,7,10
"1328",12,9,14,10,12,11
"1329",62,51,38,37,39,56
"1330",17,15,7,9,7,21
"1331",9,6,6,5,6,4
"1333",15,14,17,15,15,11
"1334",6,6,10,10,11,6
"1336",27,25,25,28,26,24
"1337",14,13,14,16,15,15
"1338",19,20,17,14,17,17
"1340",28,23,29,24,26,26
"1341",8,11,7,7,5,10
"1344",39,36,42,39,42,36
"1345",7,7,9,8,7,7
"1349",3,4,4,3,3,5
"1350",9,11,5,5,6,9
"1351",16,15,14,13,18,14
"1352",20,19,18,25,19,16
"1357",39,34,31,29,32,36
"1358",15,14,17,18,16,15
"1360",8,9,6,9,11,10
"1361",10,10,12,13,10,13
"1362",5,10,9,9,8,8
"1364",11,10,6,4,7,8
"1365",19,20,22,21,21,19
"1367",27,30,22,20,22,26
"1368",60,54,56,52,60,53
"1371",4,4,2,3,5,3
"1373",13,13,13,12,13,16
"1375",20,20,21,20,22,17
"1376",9,9,10,12,8,10
"1377",8,9,10,8,9,10
"1378",19,17,16,18,13,18
"1379",12,11,14,11,9,11
"1380",19,20,28,23,25,20
"1382",7,8,4,4,3,9
"1383",18,18,22,16,20,15
"1384",3,2,2,5,4,4
"1386",6,6,6,7,5,5
"1388",14,16,15,16,14,16
"1389",6,7,9,8,7,9
"1390",8,6,8,5,5,7
"1392",6,7,6,6,10,9
"1393",2,2,2,3,1,2
"1394",10,8,5,5,4,9
"1396",15,9,15,20,14,13
"1397",12,13,14,15,16,12
"1399",20,18,21,15,15,15
"1400",26,21,27,26,27,24
"1401",8,8,23,25,22,9
"1402",5,5,4,7,6,7
"1403",18,19,22,25,18,21
"1405",4,3,5,5,4,3
"1406",13,14,5,7,7,12
"1407",5,4,5,2,3,4
"1408",2,1,3,3,3,3
"1411",26,22,12,12,14,18
"1412",1,2,3,3,2,3
"1416",16,10,14,14,16,17
"1419",21,18,24,20,24,22
"1421",3,2,3,6,5,3
"1422",8,6,8,8,8,7
"1423",19,20,25,23,21,21
"1425",11,14,13,15,17,16
"1426",19,16,20,14,13,14
"1427",11,11,13,9,9,10
"1428",12,16,3,10,7,15
"1429",7,6,6,7,6,7
"1431",20,20,8,13,11,18
"1432",16,19,12,13,14,18
"1433",18,15,15,14,15,16
"1434",16,18,18,18,19,19
"1435",9,6,7,5,8,6
"1437",16,13,19,18,17,18
"1438",8,8,8,9,5,7
"1439",12,8,16,10,12,8
"1440",1,1,3,2,1,2
"1444",24,24,26,27,22,28
"1445",15,18,15,15,17,14
"1447",15,16,18,18,19,14
"1448",7,4,9,7,10,9
"1449",11,13,14,14,11,12
"1451",7,5,8,6,9,8
"1452",9,6,4,5,5,8
"1453",21,22,28,20,22,21
"1454",8,11,13,11,8,11
"1455",5,2,5,6,3,6
"1456",12,10,9,8,8,10
"1457",18,14,19,19,17,15
"1459",5,3,7,7,7,5
"1460",13,10,7,11,9,11
"1462",7,12,9,9,13,9
"1464",12,12,12,12,11,13
"1465",41,38,51,44,43,38
"1466",15,13,16,17,15,15
"1468",6,7,6,6,6,6
"1469",18,19,23,21,18,18
"1472",16,15,20,11,16,14
"1474",12,8,12,9,9,9
"1476",10,8,6,3,6,7
"1478",5,5,6,2,5,5
"1479",7,3,7,4,7,5
"1480",45,49,50,47,53,47
"1482",12,12,9,9,8,11
"1483",5,6,6,5,6,7
"1486",43,45,41,47,42,42
"1488",13,10,12,12,13,12
"1491",4,4,5,2,5,2
"1496",32,31,20,19,15,32
"1499",17,16,18,18,20,17
"1500",15,19,17,18,21,15
"1502",9,6,7,7,9,8
"1503",9,12,12,12,12,13
"1504",10,11,13,12,9,10
"1505",13,11,14,18,13,15
"1507",23,20,23,21,15,19
"1508",31,26,33,28,29,29
"1510",8,11,11,13,10,13
"1511",25,24,27,29,23,25
"1515",20,23,21,23,22,20
"1518",6,5,7,6,6,7
"1519",6,6,7,7,4,6
"1520",16,13,15,12,11,14
"1523",9,3,7,5,7,7
"1525",7,7,6,10,9,10
"1526",13,10,13,11,13,13
"1528",10,8,9,6,7,10
"1529",34,25,30,34,32,30
"1530",8,13,9,13,16,12
"1531",2,2,9,4,4,3
"1532",11,12,8,7,9,13
"1535",5,7,6,8,7,6
"1536",19,14,21,14,14,22
"1537",9,12,7,10,11,11
"1538",24,25,28,24,26,25
"1541",11,10,14,17,10,13
"1543",24,24,31,24,25,21
"1544",25,26,24,27,26,27
"1545",24,23,26,27,26,25
"1546",5,6,4,3,4,3
"1547",9,9,7,9,10,10
"1548",12,17,21,16,18,19
"1549",8,11,5,7,4,9
"1550",8,8,6,8,12,9
"1551",9,9,9,13,12,8
"1553",23,17,17,19,21,17
"1556",19,16,13,10,8,15
"1557",4,5,4,5,3,5
"1558",30,30,23,21,21,29
"1560",4,4,3,6,5,4
"1561",8,10,6,8,7,9
"1562",23,21,22,20,22,14
"1563",7,6,6,6,6,9
"1564",8,8,9,11,12,12
"1566",34,31,32,33,34,33
"1567",15,13,8,4,7,10
"1570",10,9,11,11,11,9
"1571",15,17,12,12,14,15
"1572",11,9,7,4,5,9
"1573",17,9,15,14,14,9
"1574",12,10,11,13,10,14
"1575",4,3,4,2,3,3
"1576",4,2,4,5,5,4
"1581",21,16,20,22,17,20
"1583",17,14,19,13,17,18
"1585",13,14,13,16,16,15
"1587",11,11,7,6,6,11
"1588",8,8,8,8,9,8
"1589",9,5,9,9,6,7
"1590",15,16,11,11,12,17
"1591",10,7,7,6,8,6
"1593",10,9,12,10,13,10
"1594",15,14,13,12,12,13
"1596",21,16,15,21,22,18
"1598",9,9,8,10,10,11
"1599",27,27,25,27,28,26
"1601",20,18,17,20,17,15
"1603",10,11,16,14,15,11
"1604",22,16,9,15,14,22
"1605",4,4,2,6,4,5
"1609",22,22,25,22,23,22
"1611",14,12,17,10,16,14
"1612",30,32,12,21,17,30
"1613",7,7,7,5,6,6
"1618",8,9,8,9,6,11
"1619",22,22,26,20,23,21
"1621",16,22,18,17,22,17
"1624",8,10,7,6,8,8
"1627",7,6,6,5,6,8
"1628",11,13,8,9,8,8
"1629",6,5,4,4,8,5
"1630",22,24,29,22,24,21
"1631",19,17,25,17,19,14
"1632",2,3,3,2,3,2
"1636",7,8,5,8,10,9
"1637",4,5,7,6,6,5
"1638",30,29,36,28,32,24
"1639",21,15,22,16,19,15
"1641",14,10,15,15,12,12
"1642",9,6,10,8,7,7
"1643",5,5,8,6,5,7
"1644",18,18,17,15,14,15
"1645",4,4,5,5,6,5
"1648",6,8,5,8,9,7
"1649",12,9,7,5,8,8
"1651",5,5,5,6,5,4
"1656",15,18,16,18,19,16
"1657",56,54,44,42,40,55
"1658",11,8,9,11,12,9
"1660",6,3,5,7,6,5
"1661",13,9,13,10,12,9
"1663",23,26,25,26,22,24
"1665",10,6,7,10,11,7
"1666",17,19,16,18,18,17
"1669",9,11,11,11,13,9
"1670",7,9,8,7,9,8
"1672",4,4,8,5,7,6
"1674",19,16,18,17,18,14
"1675",9,11,11,13,12,9
"1676",10,9,6,5,6,9
"1678",21,19,16,14,13,18
"1684",29,25,32,33,34,27
"1685",27,31,39,37,35,25
"1688",16,15,21,18,19,17
"1690",17,17,19,19,21,15
"1691",12,10,8,4,12,11
"1692",10,7,8,12,6,10
"1694",7,9,10,11,9,9
"1696",11,10,6,8,4,10
"1697",48,44,52,51,49,40
"1698",14,11,11,15,12,11
"1699",14,11,17,14,16,14
"1700",14,16,17,11,17,15
"1701",5,2,3,4,2,2
"1702",8,6,7,8,6,7
"1703",3,4,4,6,6,3
"1707",6,9,7,11,8,12
"1709",13,16,23,23,22,17
"1710",9,11,12,16,8,13
"1712",6,3,5,5,7,7
"1713",22,25,15,14,15,21
"1715",4,5,5,6,4,6
"1716",14,22,22,14,18,22
"1719",10,13,10,14,15,10
"1721",6,5,7,6,7,5
"1722",8,7,7,8,6,6
"1723",24,26,24,26,30,24
"1724",37,39,30,29,31,43
"1725",14,15,27,25,25,15
"1727",9,7,8,7,10,8
"1730",8,8,9,11,10,8
"1731",7,11,13,9,7,11
"1732",5,3,4,5,5,4
"1734",6,5,5,5,6,5
"1735",6,8,8,7,7,10
"1736",5,9,10,7,6,4
"1737",5,5,5,5,6,4
"1740",5,7,5,6,4,5
"1741",14,14,8,7,8,14
"1743",12,15,7,11,9,15
"1745",7,7,10,7,8,5
"1746",26,23,19,17,18,26
"1748",11,8,5,5,5,6
"1749",1,2,1,2,1,1
"1750",21,21,9,9,6,21
"1751",11,10,10,9,8,9
"1754",7,7,9,7,7,7
"1755",5,8,7,6,7,6
"1757",15,12,17,17,17,12
"1758",11,11,11,12,12,9
"1759",7,8,9,12,9,8
"1760",10,7,11,12,9,8
"1761",6,9,4,4,6,6
"1763",45,46,51,48,53,42
"1764",7,6,6,6,7,5
"1765",20,13,19,14,19,13
"1766",31,35,19,18,25,31
"1767",7,11,12,9,10,11
"1768",5,4,3,3,3,2
"1769",9,10,10,12,9,9
"1770",4,3,4,4,5,4
"1772",7,8,10,9,9,8
"1775",12,7,13,9,13,10
"1777",9,8,6,6,6,8
"1780",21,17,20,25,23,18
"1784",13,10,8,9,12,7
"1785",10,8,12,10,12,9
"1786",7,4,6,7,8,8
"1789",2,2,2,3,2,2
"1790",13,9,7,8,7,8
"1791",10,15,6,4,6,11
"1793",14,12,7,6,9,7
"1794",15,17,11,11,9,13
"1795",9,12,12,10,11,9
"1796",18,16,15,11,12,16
"1797",29,32,35,31,37,29
"1800",4,4,4,6,5,5
"1801",7,5,3,4,7,4
"1803",5,4,7,8,4,6
"1804",21,20,24,19,19,16
"1806",16,16,18,16,21,15
"1808",11,11,11,11,11,11
"1809",9,9,8,9,8,8
"1812",8,8,8,9,8,8
"1813",6,3,6,6,5,5
"1815",15,16,16,14,13,14
"1818",15,14,13,15,11,12
"1819",37,35,40,39,35,36
"1823",18,15,19,19,17,17
"1825",16,15,16,11,14,12
"1826",12,10,12,11,12,14
"1828",5,4,6,3,5,3
"1829",8,12,9,6,9,10
"1833",13,14,14,19,15,8
"1836",5,4,6,8,6,5
"1837",11,12,11,11,12,12
"1838",3,4,3,4,4,4
"1839",15,9,14,12,13,10
"1841",12,11,18,10,12,12
"1844",22,21,25,24,23,22
"1846",6,6,7,5,10,5
"1847",6,4,6,5,7,5
"1850",7,5,3,3,2,8
"1851",4,5,3,4,4,6
"1853",17,17,20,18,17,17
"1854",8,12,8,10,11,9
"1855",17,24,15,13,14,18
"1856",14,10,15,11,12,11
"1857",14,13,12,12,12,12
"1864",25,25,30,28,23,27
"1865",30,32,36,35,37,27
"1866",13,13,15,14,11,14
"1871",3,3,3,3,2,3
"1872",11,12,12,13,11,11
"1874",22,23,27,24,25,23
"1875",17,16,16,15,17,18
"1876",7,7,6,10,7,5
"1879",2,3,2,6,5,4
"1880",11,11,10,12,11,15
"1882",11,10,11,10,11,10
"1883",11,13,7,6,9,13
"1884",8,7,5,3,4,5
"1885",17,16,17,22,19,19
"1886",16,14,14,16,12,15
"1887",5,7,5,3,4,5
"1888",12,13,14,12,14,13
"1889",8,6,7,7,8,4
"1890",20,19,21,27,22,19
"1891",2,4,4,4,6,2
"1892",5,5,7,8,7,6
"1893",3,3,4,4,4,3
"1894",5,5,4,6,5,7
"1896",12,16,14,15,17,12
"1897",8,11,12,9,10,10
"1898",6,6,13,15,14,8
"1900",9,11,14,12,15,12
"1901",2,4,8,5,7,3
"1903",14,15,18,20,14,15
"1905",5,6,6,6,4,4
"1908",7,6,7,6,6,5
"1909",7,8,7,5,7,5
"1915",8,9,5,8,4,8
"1917",16,15,18,18,18,16
"1919",22,25,21,23,24,26
"1921",22,21,21,24,22,21
"1922",5,7,6,7,6,6
"1924",64,60,70,59,58,56
"1926",16,16,15,14,11,12
"1927",10,10,12,8,11,10
"1928",9,7,7,5,8,7
"1929",13,12,10,13,11,14
"1930",7,7,6,7,9,5
"1931",20,19,23,23,19,18
"1932",7,8,9,8,10,5
"1933",10,6,8,6,4,9
"1934",8,5,6,9,6,8
"1935",7,7,9,7,8,9
"1938",4,3,8,4,3,4
"1939",16,17,21,18,19,17
"1941",7,7,5,6,7,7
"1943",4,6,6,6,5,4
"1946",13,13,7,8,7,11
"1947",7,6,7,6,7,6
"1949",16,16,13,14,15,13
"1951",12,11,12,11,10,10
"1952",12,16,18,15,15,17
"1953",18,19,16,19,17,17
"1955",20,23,28,24,27,23
"1957",10,13,10,8,7,13
"1959",17,16,11,9,8,11
"1961",7,6,8,10,14,6
"1963",5,5,6,4,3,4
"1964",4,4,6,4,4,5
"1965",6,6,5,4,6,4
"1967",16,17,18,14,14,14
"1968",32,30,29,32,28,30
"1969",9,8,9,6,9,8
"1971",2,2,3,3,2,2
"1972",11,10,12,13,10,10
"1973",9,9,9,8,7,11
"1974",12,14,14,15,15,14
"1976",5,5,6,5,3,7
"1977",7,6,7,5,6,6
"1978",7,7,13,8,8,8
"1980",30,26,32,33,31,26
"1981",6,7,5,5,6,4
"1982",16,20,12,9,9,18
"1983",19,15,17,14,19,16
"1984",16,15,10,10,9,17
"1986",27,28,25,26,24,22
"1988",9,7,10,10,13,12
"1991",14,15,13,10,11,10
"1992",14,11,14,11,9,12
"1997",8,12,13,15,9,10
"2000",11,10,12,13,11,10
"2004",7,5,10,8,8,8
"2006",15,18,17,19,15,21
"2007",33,32,36,36,35,30
"2008",15,12,13,14,13,13
"2009",30,26,20,24,18,26
"2010",15,15,15,18,16,12
"2011",7,6,5,6,7,7
"2012",12,11,10,12,9,10
"2015",3,3,3,4,3,4
"2018",21,18,21,20,19,19
"2019",10,9,9,11,10,12
"2022",11,12,9,12,12,9
"2025",6,9,9,10,8,9
"2026",12,10,8,5,8,6
"2028",3,3,4,3,3,2
"2029",12,13,12,13,15,11
"2030",12,9,11,12,12,9
"2033",9,8,8,8,10,8
"2034",14,11,15,14,12,11
"2035",7,6,6,8,8,8
"2036",10,7,14,7,9,11
"2038",17,17,20,18,16,16
"2040",17,16,17,14,16,14
"2041",15,15,12,17,16,15
"2045",7,7,11,7,7,8
"2046",6,7,8,8,5,8
"2047",15,17,19,18,19,19
"2048",7,6,9,10,6,9
"2051",4,5,8,7,5,6
"2057",9,8,7,7,4,10
"2058",14,12,13,10,10,14
"2059",4,4,4,4,4,4
"2060",8,5,6,2,2,8
"2062",3,3,2,3,3,3
"2064",18,21,13,16,14,21
"2066",11,11,7,10,10,12
"2067",29,31,28,28,31,27
"2069",17,16,20,16,15,17
"2070",3,5,3,3,4,4
"2073",11,12,13,8,10,8
"2075",20,15,18,17,18,20
"2077",13,13,13,10,10,10
"2078",12,12,18,14,13,16
"2081",13,12,8,13,11,14
"2082",10,13,7,8,10,9
"2085",12,12,13,10,12,9
"2087",7,7,12,10,12,5
"2090",10,9,10,8,10,8
"2092",14,13,11,10,13,11
"2093",17,14,16,17,17,14
"2094",5,6,6,6,6,7
"2095",17,12,13,13,13,20
"2102",8,7,7,7,7,7
"2103",5,4,4,5,5,5
"2104",10,10,10,11,8,7
"2107",6,5,5,3,6,6
"2108",8,10,10,10,10,9
"2109",12,17,12,13,18,14
"2110",18,18,23,15,22,11
"2111",21,23,18,12,14,21
"2113",9,9,7,3,6,7
"2114",7,7,2,4,2,8
"2115",10,11,13,13,15,15
"2120",21,23,23,25,23,21
"2122",9,9,11,9,10,8
"2123",5,8,7,5,9,7
"2124",18,21,21,20,21,21
"2125",3,6,5,6,6,5
"2128",29,28,21,16,21,30
"2131",12,10,12,9,11,10
"2132",4,4,4,4,4,4
"2133",7,10,9,12,11,10
"2135",5,5,4,6,8,5
"2136",8,8,10,8,10,10
"2137",3,5,3,4,5,5
"2138",10,10,7,11,13,11
"2141",8,7,13,6,9,7
"2142",10,11,13,15,13,13
"2143",14,14,12,9,10,14
"2144",27,27,17,18,20,25
"2148",9,4,6,8,5,4
"2150",5,5,4,5,5,4
"2152",3,4,4,4,4,4
"2156",22,19,28,22,29,23
"2157",11,9,9,10,9,11
"2158",15,17,18,22,22,17
"2159",6,6,5,4,3,5
"2160",7,6,5,5,6,6
"2161",10,11,8,10,9,9
"2162",14,14,19,18,15,14
"2167",8,7,8,6,8,6
"2168",8,6,8,10,12,8
"2169",13,13,14,13,14,11
"2171",18,19,20,17,20,16
"2173",5,5,5,6,5,7
"2174",4,3,14,17,14,4
"2176",8,9,9,7,7,5
"2177",11,12,6,9,9,12
"2178",14,15,11,9,12,16
"2179",6,5,13,7,9,8
"2180",9,9,8,13,12,9
"2182",9,6,4,5,4,5
"2183",22,19,19,21,20,19
"2185",11,10,13,11,12,11
"2186",11,10,9,10,9,9
"2187",7,7,7,7,7,7
"2188",8,11,10,9,10,11
"2189",7,5,6,3,7,5
"2191",12,9,13,14,15,13
"2192",22,23,20,19,19,21
"2194",15,18,16,17,19,13
"2195",2,1,2,3,3,2
"2197",13,8,11,10,14,8
"2198",8,7,9,7,9,8
"2199",9,9,8,12,8,8
"2201",8,9,7,9,10,9
"2204",5,4,7,7,7,7
"2205",8,7,10,9,8,6
"2206",12,13,12,8,9,12
"2207",14,13,12,10,12,11
"2208",11,13,14,10,12,13
"2209",12,7,12,8,9,6
"2211",2,4,3,4,7,4
"2213",9,8,7,6,8,5
"2214",19,14,16,15,15,14
"2218",11,13,9,9,9,11
"2219",3,2,2,2,2,2
"2222",9,9,6,8,6,8
"2225",6,7,7,6,5,5
"2226",5,5,4,5,5,2
"2227",5,6,8,7,6,10
"2229",10,11,9,9,9,11
"2234",25,24,17,10,16,17
"2235",24,22,20,22,15,23
"2236",14,12,16,14,14,13
"2237",3,2,4,6,4,4
"2239",15,12,10,11,9,11
"2241",10,9,9,10,9,8
"2243",15,17,12,12,11,14
"2244",11,14,13,9,11,11
"2245",7,9,12,8,11,5
"2247",3,5,4,4,6,5
"2248",6,6,9,5,7,8
"2249",15,15,19,16,14,18
"2250",8,8,4,4,6,8
"2251",16,14,19,16,19,14
"2253",13,17,15,18,15,16
"2254",14,15,13,14,16,12
"2255",10,10,11,8,11,10
"2256",3,4,4,3,3,5
"2257",13,9,15,11,15,12
"2259",3,3,2,2,2,3
"2261",10,9,16,17,11,12
"2262",4,4,5,5,4,4
"2263",7,6,7,7,8,6
"2266",5,6,4,5,6,3
"2268",17,16,17,20,19,18
"2270",12,11,12,14,11,11
"2271",2,3,2,1,1,2
"2273",8,9,9,8,10,8
"2274",8,11,11,11,10,11
"2275",8,9,5,6,4,6
"2277",10,6,9,9,8,6
"2279",10,9,8,8,10,10
"2280",12,11,13,10,14,10
"2282",29,27,30,24,27,28
"2283",25,28,28,24,27,27
"2284",27,29,30,24,30,26
"2285",5,5,6,4,4,3
"2287",12,14,9,6,8,14
"2288",3,3,3,4,3,3
"2290",18,26,17,23,22,22
"2291",8,6,7,5,5,6
"2292",17,13,16,14,13,13
"2293",9,9,9,7,10,7
"2294",35,35,37,37,35,35
"2295",9,8,10,9,8,8
"2296",7,8,6,6,4,10
"2298",12,10,12,12,10,12
"2301",10,11,12,13,10,11
"2303",4,4,4,3,4,3
"2304",3,4,4,4,5,4
"2305",15,11,15,13,14,14
"2306",5,6,4,6,6,7
"2307",19,14,12,15,18,14
"2308",14,16,10,11,11,12
"2310",25,26,28,21,28,28
"2312",7,6,7,7,7,7
"2313",10,9,9,9,9,9
"2315",29,25,32,25,29,24
"2317",9,7,4,4,4,11
"2318",13,11,17,20,17,13
"2319",9,11,8,6,7,12
"2322",31,38,39,36,35,35
"2323",14,15,14,15,14,16
"2324",5,6,7,4,5,7
"2325",8,7,9,6,6,7
"2326",15,13,15,12,13,14
"2327",7,6,6,7,6,7
"2328",10,10,10,9,10,8
"2329",4,2,4,3,4,5
"2330",21,23,26,22,22,20
"2331",7,7,8,6,7,6
"2332",4,5,5,4,4,5
"2333",7,7,6,8,8,9
"2334",4,3,3,3,4,3
"2335",9,9,7,7,5,6
"2336",28,29,19,15,19,29
"2337",27,30,25,35,29,27
"2341",11,13,9,9,10,10
"2342",18,26,22,21,21,20
"2344",9,10,11,9,11,9
"2347",3,4,5,4,4,4
"2350",6,6,6,9,6,6
"2353",6,6,6,4,4,8
"2355",18,14,18,21,18,19
"2358",18,16,16,17,18,17
"2359",16,14,10,11,10,11
"2360",14,16,10,10,8,14
"2361",30,26,33,29,30,25
"2363",23,26,27,26,24,22
"2364",7,8,9,7,8,7
"2367",6,7,9,7,7,8
"2368",8,12,10,8,11,7
"2369",16,16,21,19,20,19
"2370",15,14,10,9,14,14
"2371",21,16,14,14,9,19
"2372",3,3,1,2,2,3
"2377",2,2,1,2,2,1
"2379",7,9,8,5,5,10
"2380",7,6,10,5,8,7
"2382",10,11,14,10,14,11
"2383",18,24,22,19,18,13
"2388",19,19,20,21,21,20
"2392",22,23,24,22,22,22
"2395",11,12,15,10,14,16
"2396",7,6,12,11,14,5
"2402",15,12,19,13,15,13
"2403",5,4,5,5,5,5
"2405",7,8,6,2,3,6
"2406",14,11,16,16,12,13
"2407",12,14,14,12,16,11
"2411",32,24,29,29,31,28
"2412",7,7,7,6,7,5
"2413",8,7,7,6,8,5
"2415",9,7,9,9,9,9
"2417",18,11,16,11,12,16
"2420",23,19,20,19,21,23
"2421",10,13,18,12,13,14
"2422",8,7,16,13,15,9
"2423",8,5,4,9,8,9
"2428",5,4,3,3,4,4
"2429",3,3,3,2,3,3
"2430",9,9,11,8,11,11
"2431",19,15,20,19,18,18
"2434",5,4,4,4,4,4
"2435",28,28,30,29,30,30
"2440",15,14,21,18,20,18
"2441",13,14,10,6,10,13
"2442",15,13,15,12,11,14
"2443",5,8,5,10,5,10
"2444",14,11,14,13,13,13
"2446",5,7,5,5,7,6
"2447",13,14,14,14,16,11
"2448",24,28,27,28,23,27
"2449",22,22,17,13,14,23
"2450",25,25,16,16,16,22
"2451",11,6,11,12,11,9
"2454",12,13,11,10,11,15
"2457",5,7,7,7,6,8
"2459",8,9,10,11,10,9
"2460",4,3,3,4,4,3
"2461",5,4,5,8,7,3
"2463",5,5,5,7,7,6
"2466",17,18,20,22,19,16
"2469",14,14,10,8,12,16
"2470",7,6,7,6,7,6
"2471",12,12,14,13,13,12
"2472",2,2,2,4,2,3
"2473",15,13,12,12,9,14
"2476",1,1,2,1,2,2
"2477",11,11,10,11,11,11
"2478",7,7,8,6,6,8
"2479",17,18,20,19,16,22
"2482",4,5,7,3,5,4
"2483",5,4,4,5,4,4
"2484",18,20,23,22,25,20
"2485",18,25,24,24,27,23
"2486",8,6,7,6,6,6
"2488",8,9,4,6,5,6
"2489",15,14,14,11,13,12
"2490",8,9,9,6,6,8
"2491",21,19,22,18,22,20
"2492",8,9,11,12,12,12
"2496",4,4,4,5,5,6
"2497",6,5,5,6,6,5
"2499",8,9,9,9,9,7
"2500",12,11,11,10,11,16
"2507",43,34,39,37,41,34
"2510",15,17,17,14,20,16
"2511",9,8,9,7,7,10
"2512",17,14,15,20,20,18
"2513",4,3,2,1,2,1
"2514",13,12,13,11,13,11
"2515",10,7,7,6,5,4
"2516",6,5,5,7,6,7
"2517",10,9,12,10,11,10
"2518",13,13,10,11,9,11
"2521",6,4,7,9,9,9
"2522",20,18,21,17,19,18
"2525",6,3,3,1,2,2
"2526",12,10,12,11,13,9
"2527",7,5,8,10,7,7
"2530",6,8,6,6,7,8
"2532",9,7,6,6,6,7
"2533",12,10,5,6,8,10
"2534",11,9,6,5,11,8
"2536",18,15,17,15,16,18
"2538",20,18,11,13,10,17
"2539",10,9,11,9,13,9
"2540",9,8,13,11,10,9
"2541",13,11,9,7,7,7
"2543",8,5,7,9,9,6
"2544",17,18,9,9,13,21
"2547",25,28,29,27,26,27
"2548",6,6,7,7,6,4
"2550",7,4,8,6,7,5
"2551",4,4,6,7,5,3
"2554",6,6,7,6,9,7
"2556",16,14,16,12,13,13
"2561",3,4,3,5,3,4
"2564",9,8,6,4,3,8
"2565",10,7,10,10,10,7
"2566",16,12,15,18,15,9
"2568",11,10,10,11,10,11
"2571",12,12,14,15,16,9
"2572",15,12,14,13,14,13
"2573",9,6,9,7,10,11
"2574",14,14,14,14,15,13
"2575",24,29,33,33,30,23
"2576",13,11,7,11,8,13
"2577",11,9,20,16,17,11
"2578",9,6,9,5,11,8
"2579",6,7,6,7,5,5
"2580",8,11,10,11,11,12
"2584",8,7,8,8,6,8
"2586",9,7,10,9,7,9
"2587",34,30,27,28,28,32
"2588",4,3,3,2,1,2
"2589",3,4,2,3,1,4
"2591",9,8,11,7,10,7
"2595",17,14,15,14,13,11
"2596",7,6,6,6,6,4
"2598",6,8,6,7,5,5
"2599",6,6,6,6,7,8
"2601",14,14,11,9,12,8
"2602",13,14,14,14,14,14
"2605",12,8,14,10,11,7
"2606",3,4,4,6,4,5
"2607",5,6,6,6,7,3
"2610",5,8,8,5,6,7
"2613",9,8,5,7,6,8
"2617",7,6,7,6,7,7
"2619",4,3,3,6,5,3
"2621",7,6,5,3,4,4
"2622",11,9,11,12,14,11
"2623",10,8,9,9,8,5
"2630",9,9,9,7,9,9
"2631",11,11,14,14,11,8
"2632",12,11,12,13,13,12
"2638",5,5,4,6,4,5
"2640",16,19,12,14,12,19
"2642",6,5,4,7,6,11
"2644",4,4,4,4,5,4
"2646",12,11,13,10,10,14
"2648",10,9,11,15,9,10
"2649",8,8,10,11,8,9
"2650",22,22,26,25,25,19
"2654",6,6,5,3,6,5
"2655",7,6,8,6,7,4
"2656",8,6,6,8,7,9
"2662",5,5,4,4,4,6
"2665",8,7,5,6,5,6
"2668",8,6,9,6,5,7
"2670",7,8,4,6,6,8
"2671",11,9,8,4,8,10
"2672",26,23,25,23,24,20
"2675",18,17,17,18,22,20
"2680",7,8,7,10,10,7
"2682",8,8,10,12,10,5
"2683",6,6,4,6,6,7
"2685",5,3,6,6,8,6
"2686",13,6,10,7,9,7
"2690",27,31,24,19,24,30
"2691",8,12,10,10,9,10
"2694",14,14,22,24,23,11
"2695",14,16,15,20,15,17
