"","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_A_1"
"1097",12,13,12,12,11,14
"1098",22,22,22,22,22,22
"1099",8,7,8,7,7,7
"1100",6,6,6,6,6,6
"1101",3,3,3,4,4,3
"1103",2,2,2,2,2,2
"1104",6,4,4,4,3,4
"1105",7,12,10,9,8,13
"1106",1,1,1,1,1,1
"1107",3,3,2,3,4,3
"1108",9,10,10,10,10,10
"1109",28,29,29,30,30,28
"1110",2,4,4,1,2,4
"1111",5,10,7,6,6,9
"1112",23,21,22,24,21,23
"1113",4,8,8,5,3,9
"1114",7,6,7,6,5,7
"1115",25,24,24,25,24,25
"1117",5,5,5,5,4,4
"1118",19,18,18,17,19,17
"1119",10,9,8,7,8,7
"1120",7,8,7,7,7,8
"1122",4,3,3,1,2,4
"1123",4,4,4,2,4,3
"1125",6,7,7,5,7,5
"1126",15,11,12,11,13,11
"1127",3,2,3,3,3,3
"1128",10,11,10,10,10,9
"1130",9,8,10,10,8,9
"1131",4,6,4,6,5,4
"1132",13,14,15,12,10,15
"1133",23,20,22,23,22,23
"1134",7,7,7,7,6,7
"1135",2,2,2,2,2,2
"1136",4,3,4,3,3,3
"1137",5,5,3,6,4,4
"1138",26,29,26,28,24,24
"1139",29,24,28,26,26,23
"1140",8,9,10,6,7,8
"1141",10,9,10,8,8,8
"1142",1,1,1,1,1,1
"1143",11,11,10,12,10,12
"1144",2,2,2,2,1,4
"1145",23,23,23,22,21,24
"1146",11,10,10,10,10,12
"1147",12,10,12,12,12,12
"1148",4,3,4,4,3,3
"1149",11,11,11,11,10,11
"1150",20,21,20,21,20,21
"1151",57,57,56,57,58,54
"1152",19,19,19,17,18,17
"1153",4,8,6,4,5,6
"1155",2,1,2,1,1,2
"1156",6,8,10,7,5,10
"1157",2,7,7,5,3,6
"1158",7,9,8,7,6,10
"1159",20,20,20,19,19,19
"1160",1,1,2,1,1,1
"1162",19,14,17,18,17,13
"1163",9,10,9,9,9,9
"1165",6,9,8,4,3,7
"1167",21,18,19,20,20,19
"1168",3,3,3,2,2,3
"1169",21,23,23,23,22,24
"1170",6,1,2,5,6,1
"1171",5,5,5,5,5,5
"1172",15,19,18,12,18,17
"1173",4,4,4,4,4,6
"1174",4,4,4,4,4,4
"1175",15,16,13,16,17,15
"1176",1,3,4,2,1,3
"1178",42,41,42,42,41,42
"1179",9,11,11,10,9,11
"1180",20,22,24,22,23,22
"1181",5,4,6,5,5,6
"1182",4,4,4,4,4,4
"1183",27,27,26,28,28,28
"1184",12,11,11,11,10,11
"1185",11,11,11,10,9,9
"1187",6,5,6,7,5,6
"1188",5,4,4,7,4,2
"1189",3,3,2,3,3,2
"1190",5,7,6,7,5,4
"1191",8,10,11,10,10,11
"1192",4,5,5,3,3,5
"1193",3,3,3,3,3,3
"1194",15,15,15,14,14,15
"1195",2,1,2,1,1,2
"1196",2,2,2,2,2,2
"1197",4,5,4,3,4,5
"1198",13,11,12,11,12,11
"1199",4,5,5,5,4,6
"1200",6,6,6,5,5,5
"1201",1,1,1,2,2,4
"1202",1,2,1,1,1,2
"1203",14,15,15,14,14,14
"1204",11,10,12,11,11,12
"1205",30,29,27,29,28,28
"1206",27,27,27,27,27,28
"1207",2,1,1,1,2,2
"1208",8,8,8,8,8,8
"1209",10,7,8,6,8,7
"1210",10,11,11,7,11,11
"1211",1,2,2,2,1,2
"1212",2,4,3,2,2,3
"1213",6,5,5,5,5,6
"1215",3,3,3,3,3,3
"1216",3,3,2,2,2,1
"1217",21,20,21,20,20,20
"1218",29,28,28,28,29,28
"1219",3,4,2,2,2,3
"1220",6,6,7,6,4,6
"1221",5,7,8,5,4,6
"1222",4,4,4,1,1,5
"1223",4,4,3,4,4,4
"1224",15,16,16,14,13,16
"1225",6,5,6,5,5,6
"1226",29,30,30,28,27,30
"1227",1,1,1,1,2,2
"1228",15,13,17,15,14,13
"1229",10,14,15,12,11,16
"1231",2,7,7,5,3,8
"1232",8,3,3,9,9,2
"1233",11,13,12,11,11,15
"1234",13,14,13,13,14,14
"1235",7,7,5,7,7,7
"1237",5,6,5,6,5,6
"1238",1,4,4,3,2,4
"1239",4,4,4,4,5,4
"1240",4,4,5,5,5,5
"1242",2,1,1,2,2,2
"1243",7,14,14,12,10,15
"1244",11,11,11,11,9,12
"1245",9,4,6,9,9,3
"1246",5,3,3,4,5,3
"1247",6,8,8,5,6,7
"1248",2,2,2,1,2,4
"1249",4,4,5,4,4,4
"1250",17,15,17,12,16,16
"1251",1,2,2,1,1,1
"1253",1,1,1,1,1,1
"1254",7,8,7,8,7,8
"1255",12,11,12,11,11,11
"1256",15,21,21,19,17,21
"1257",2,1,1,2,2,1
"1258",7,8,7,8,8,7
"1259",3,3,4,5,4,4
"1260",10,10,10,10,10,10
"1261",6,7,6,4,6,4
"1262",15,17,18,14,14,16
"1263",19,22,21,21,20,23
"1264",5,4,4,4,4,4
"1265",7,7,6,7,6,7
"1266",40,38,39,37,39,36
"1268",4,5,4,3,4,5
"1269",2,3,1,3,2,2
"1270",9,12,13,9,8,12
"1272",3,4,3,4,3,4
"1274",2,2,2,2,2,2
"1276",8,13,13,13,11,16
"1278",24,27,26,26,24,27
"1279",4,6,7,4,5,8
"1280",7,8,7,7,7,7
"1281",12,15,17,9,12,17
"1282",6,3,4,4,5,4
"1283",2,3,3,3,2,2
"1284",8,11,12,9,8,12
"1285",13,1,2,12,11,2
"1286",25,27,30,22,24,25
"1287",17,21,23,17,17,17
"1288",10,10,10,10,10,9
"1289",6,5,5,5,6,5
"1290",1,2,2,2,2,2
"1291",11,9,10,10,10,11
"1292",3,4,4,3,4,3
"1293",1,1,1,1,1,1
"1294",10,10,11,10,10,11
"1295",3,3,3,3,3,3
"1296",2,4,5,3,3,4
"1299",15,16,16,15,14,14
"1300",31,34,34,29,26,35
"1301",5,4,5,2,3,1
"1303",10,9,9,9,8,9
"1304",11,11,11,8,9,11
"1306",11,12,12,10,11,11
"1307",1,2,1,2,1,2
"1308",7,9,9,8,7,8
"1309",4,4,5,5,4,4
"1310",4,6,8,6,3,6
"1311",10,10,10,11,8,12
"1312",4,4,5,5,4,5
"1314",14,13,14,13,12,13
"1315",17,15,15,19,17,18
"1316",30,27,29,28,30,28
"1317",7,6,5,9,6,7
"1318",8,10,10,8,8,9
"1319",15,16,16,14,15,15
"1320",16,17,17,16,17,12
"1321",28,27,28,26,27,27
"1322",9,7,10,9,7,8
"1323",5,6,5,5,4,4
"1324",5,5,5,5,5,5
"1325",2,5,3,4,3,4
"1326",14,14,13,13,13,14
"1327",47,45,45,46,45,46
"1328",5,6,6,5,6,5
"1329",5,6,5,4,5,5
"1330",24,26,26,26,20,25
"1331",5,4,5,4,4,4
"1332",6,6,6,6,6,6
"1333",9,11,11,11,11,11
"1334",16,15,16,16,16,13
"1335",2,6,9,4,4,7
"1337",8,11,9,10,5,10
"1338",3,3,2,3,3,3
"1339",4,4,3,4,3,5
"1340",6,7,6,7,5,7
"1342",2,2,2,2,2,2
"1343",36,53,52,39,40,47
"1345",3,4,2,4,5,3
"1347",3,3,5,1,1,5
"1348",18,19,19,19,17,19
"1349",6,6,7,7,6,7
"1350",15,18,17,17,18,19
"1351",6,6,7,6,6,6
"1352",7,7,6,7,5,5
"1353",5,5,5,4,5,4
"1354",19,20,20,22,18,21
"1356",1,2,2,1,1,2
"1357",7,7,8,5,2,4
"1358",2,3,3,4,3,4
"1359",13,12,13,13,13,13
"1360",8,7,7,7,8,7
"1361",2,1,2,2,1,1
"1362",23,22,22,22,22,22
"1363",8,4,4,7,7,3
"1364",1,3,3,3,3,3
"1365",17,17,17,17,17,17
"1366",3,4,3,3,4,4
"1367",10,8,9,12,9,9
"1368",3,5,4,4,3,5
"1369",3,3,1,3,3,2
"1370",7,5,6,6,6,6
"1372",2,3,3,3,3,2
"1373",3,3,3,2,2,3
"1375",7,9,9,8,7,10
"1376",8,9,8,7,6,8
"1377",2,3,2,1,1,2
"1379",6,6,5,5,5,5
"1380",7,7,8,7,8,8
"1381",4,4,3,4,4,5
"1382",4,4,4,4,4,4
"1383",26,28,27,29,27,28
"1384",10,10,10,9,9,9
"1385",7,6,7,6,6,7
"1386",2,4,6,2,4,3
"1387",11,11,9,12,11,10
"1389",5,6,6,5,5,5
"1390",6,6,6,6,6,6
"1391",9,10,13,7,9,12
"1392",11,12,10,12,9,11
"1393",6,4,5,6,6,5
"1394",3,4,3,4,3,4
"1395",2,2,3,2,2,5
"1396",3,3,1,3,2,3
"1397",89,84,87,88,88,86
"1398",4,1,1,2,4,1
"1400",9,8,10,8,8,8
"1402",8,13,12,8,9,12
"1403",6,3,2,4,5,3
"1404",1,1,2,2,1,3
"1405",13,12,13,12,13,12
"1407",2,3,2,4,2,4
"1409",6,7,5,7,6,7
"1410",12,15,15,14,13,15
"1411",9,9,9,10,10,9
"1412",5,5,7,4,3,5
"1413",16,16,17,18,18,19
"1414",4,3,3,5,5,3
"1415",14,12,13,13,12,13
"1416",11,11,11,11,11,11
"1417",12,13,13,12,12,13
"1418",36,36,36,35,34,34
"1422",35,36,37,30,31,38
"1423",3,5,5,3,4,5
"1424",2,4,3,2,1,3
"1425",5,7,6,5,7,6
"1426",15,19,19,16,18,21
"1427",5,6,6,3,4,6
"1428",10,11,12,9,10,12
"1429",3,3,2,2,3,3
"1430",2,2,2,2,2,2
"1431",3,4,4,4,4,4
"1432",12,12,12,12,12,13
"1433",7,4,4,8,6,3
"1434",11,3,3,13,9,3
"1435",1,2,2,2,2,3
"1436",6,5,5,4,5,5
"1437",30,30,29,31,31,29
"1438",4,5,6,3,1,6
"1439",9,9,9,9,9,9
"1440",27,30,27,22,25,28
"1442",10,10,12,12,11,13
"1444",16,16,16,16,16,16
"1445",1,1,2,1,1,1
"1446",14,15,13,14,14,14
"1447",1,1,1,1,1,2
"1448",3,4,5,3,2,4
"1449",7,7,7,7,7,7
"1450",8,9,9,8,8,9
"1452",3,3,3,3,3,3
"1453",7,9,8,7,8,9
"1454",9,10,10,11,10,10
"1456",2,1,2,2,2,2
"1457",19,17,19,18,18,18
"1458",13,13,13,13,13,13
"1459",15,13,15,14,15,15
"1460",10,9,11,11,11,11
"1461",10,10,10,10,10,10
"1462",1,4,3,2,2,4
"1463",2,6,6,5,5,5
"1464",4,4,4,4,4,4
"1467",15,15,15,13,14,16
"1468",16,17,16,17,17,17
"1469",2,2,2,2,2,2
"1470",1,1,1,1,1,1
"1471",3,3,3,3,3,2
"1472",16,16,16,17,17,16
"1473",11,11,11,11,11,11
"1475",9,9,10,10,7,11
"1476",2,2,2,2,1,2
"1477",13,13,13,12,14,12
"1478",1,3,3,2,2,3
"1479",3,9,6,5,5,8
"1481",3,7,7,3,4,7
"1482",5,5,4,4,5,4
"1483",6,8,6,5,6,5
"1484",3,3,4,2,3,3
"1485",4,5,4,4,4,5
"1486",4,5,5,4,4,5
"1487",3,1,2,1,1,1
"1489",10,5,7,9,10,5
"1492",7,7,6,8,7,5
"1493",20,18,20,22,18,21
"1494",1,1,1,1,1,1
"1498",7,10,10,5,8,12
"1499",7,10,8,8,8,8
"1501",6,6,6,6,6,6
"1502",6,6,6,5,6,6
"1503",6,6,5,6,6,6
"1504",13,10,13,11,12,11
"1505",4,5,5,3,3,4
"1507",24,22,24,28,24,25
"1508",6,4,6,5,6,6
"1509",1,1,1,1,1,1
"1510",2,1,1,1,1,1
"1511",3,5,5,1,2,4
"1512",10,11,11,10,10,11
"1513",2,2,3,3,2,3
"1514",33,33,34,34,34,32
"1515",6,6,8,5,7,7
"1516",8,10,10,7,7,10
"1517",1,3,3,3,2,2
"1518",5,6,6,5,6,6
"1519",2,3,2,2,2,3
"1520",1,4,5,3,3,4
"1521",3,4,6,4,3,5
"1522",4,5,3,5,6,6
"1523",1,2,2,2,1,2
"1524",3,3,3,2,1,3
"1526",2,2,2,1,1,1
"1527",5,4,5,3,4,5
"1529",5,5,8,4,4,5
"1531",7,7,7,7,7,7
"1533",4,4,4,5,2,3
"1534",8,8,8,8,7,8
"1535",4,4,3,3,2,3
"1536",2,3,1,4,3,3
"1537",6,10,9,9,8,9
"1539",3,1,2,3,3,2
"1540",18,14,13,17,19,14
"1542",3,4,6,3,3,4
"1544",3,4,4,4,2,4
"1545",1,2,2,1,2,2
"1546",3,3,3,2,2,2
"1547",6,9,7,4,5,7
"1549",3,3,2,2,2,3
"1550",2,1,2,2,1,2
"1552",9,9,8,9,9,8
"1553",25,28,28,26,24,30
"1554",23,22,23,23,23,22
"1555",4,6,5,5,5,3
"1557",14,14,14,14,14,13
"1558",10,9,10,9,9,10
"1559",9,7,7,9,7,7
"1560",9,7,10,9,9,9
"1561",1,2,2,1,2,2
"1562",2,2,2,2,2,1
"1563",28,27,28,28,29,28
"1564",14,13,14,14,13,14
"1565",1,1,1,1,1,1
"1566",11,11,11,11,11,11
"1567",14,15,13,19,15,18
"1568",12,13,13,11,11,13
"1569",6,6,6,6,6,6
"1570",1,1,2,2,2,1
"1571",4,4,4,4,4,4
"1572",17,17,17,16,16,18
"1574",23,29,31,24,23,28
"1575",26,25,28,27,28,27
"1576",32,28,31,31,31,31
"1577",18,20,19,18,19,19
"1580",8,9,9,9,8,8
"1581",4,4,4,4,4,4
"1582",8,8,8,8,8,8
"1583",4,4,4,4,4,4
"1584",3,2,2,1,2,1
"1585",2,2,1,2,1,2
"1586",5,2,2,5,5,3
"1590",7,1,2,6,7,2
"1592",9,9,9,9,9,9
"1595",2,4,4,2,1,4
"1596",10,9,10,8,8,9
"1597",6,5,8,5,5,7
"1598",16,14,11,17,17,8
"1599",3,6,6,3,2,6
"1600",9,10,10,9,9,10
"1601",6,6,6,6,6,6
"1602",7,9,9,6,7,11
"1603",15,16,17,16,17,16
"1604",11,11,11,12,11,9
"1605",3,3,3,2,3,3
"1606",58,53,53,51,55,53
"1607",15,14,15,13,15,13
"1609",2,2,2,2,1,2
"1610",27,28,30,30,28,28
"1611",13,10,13,11,13,13
"1613",1,3,2,1,1,3
"1614",1,2,3,1,1,3
"1615",9,8,9,9,9,9
"1616",6,4,5,5,5,3
"1617",5,5,5,5,5,4
"1618",13,13,13,14,13,14
"1620",9,9,9,9,9,9
"1621",6,6,6,5,5,6
"1623",1,4,4,3,2,7
"1625",4,3,3,3,4,3
"1627",16,18,16,18,15,19
"1628",19,17,19,22,19,19
"1629",17,16,16,17,17,15
"1630",5,6,6,5,3,5
"1631",3,3,3,3,2,3
"1632",3,6,6,4,4,4
"1633",4,4,4,3,4,3
"1634",8,10,11,7,8,10
"1636",11,13,12,12,11,13
"1637",20,22,21,22,21,19
"1639",5,3,3,4,3,2
"1640",1,2,2,1,2,1
"1641",23,22,19,25,20,20
"1642",5,3,6,3,5,5
"1643",12,11,12,11,12,11
"1644",3,3,3,4,2,4
"1645",4,4,4,4,4,4
"1646",23,23,23,22,21,22
"1647",2,2,2,2,2,2
"1649",2,2,2,1,2,2
"1650",8,7,8,7,8,8
"1651",7,8,7,8,7,7
"1652",8,7,5,7,7,6
"1653",13,15,14,15,15,15
"1654",5,6,7,5,5,6
"1655",6,6,6,7,5,5
"1656",2,3,3,3,4,1
"1657",10,10,10,10,10,8
"1658",18,17,18,18,18,18
"1659",9,9,9,9,9,9
"1660",5,4,5,5,5,4
"1661",3,3,3,4,3,3
"1662",8,8,8,8,8,8
"1663",3,3,3,3,3,2
"1664",8,8,8,8,8,8
"1665",8,7,8,7,7,7
"1666",9,9,9,9,9,9
"1667",9,9,9,9,9,9
"1668",19,18,18,19,16,17
"1669",23,20,23,20,21,21
"1670",10,10,10,11,11,10
"1671",4,6,4,6,5,5
"1672",7,6,6,6,6,6
"1674",8,9,9,8,7,8
"1676",9,10,9,10,10,10
"1677",3,3,1,3,3,3
"1678",11,11,11,10,10,11
"1679",21,20,19,21,21,18
"1680",4,4,4,5,2,4
"1681",14,16,16,13,13,17
"1682",6,6,7,7,7,7
"1683",3,3,3,2,3,3
"1684",1,2,2,2,1,3
"1685",1,1,2,1,1,1
"1686",11,8,11,10,10,9
"1687",4,5,5,2,4,5
"1688",7,6,8,7,6,7
"1689",20,18,16,19,17,18
"1690",17,16,17,16,15,18
"1692",12,11,13,12,13,12
"1694",3,4,3,5,5,4
"1695",5,4,3,3,4,3
"1696",9,10,9,10,8,10
"1697",10,9,5,10,8,9
"1699",10,9,9,10,7,9
"1700",7,8,8,7,7,8
"1701",4,6,7,6,3,7
"1702",3,6,5,5,4,6
"1703",9,8,10,6,8,9
"1704",2,4,3,5,3,3
"1705",29,32,31,30,30,32
"1706",11,15,14,12,11,15
"1707",12,9,13,11,12,12
"1708",3,4,3,3,3,3
"1709",6,6,6,6,6,6
"1710",14,16,15,16,16,16
"1711",3,4,3,2,2,2
"1712",32,32,33,32,31,29
"1713",9,9,9,9,9,9
"1714",16,16,16,16,16,16
"1715",7,7,7,7,7,7
"1716",1,1,1,1,1,1
"1717",27,28,28,27,28,27
"1718",5,4,5,5,5,2
"1719",1,1,2,1,1,1
"1720",8,11,9,11,7,12
"1721",8,8,8,8,9,8
"1723",1,2,2,2,2,2
"1724",7,7,8,8,7,8
"1725",2,2,1,2,1,2
"1726",7,8,8,6,7,8
"1727",1,1,2,1,1,1
"1728",4,6,8,6,5,6
"1729",4,4,4,4,3,4
"1730",7,7,7,7,8,6
"1731",34,33,34,32,32,30
"1732",17,20,21,18,19,21
"1733",3,3,4,1,1,3
"1734",4,5,5,5,5,5
"1735",1,1,2,1,1,1
"1736",2,3,2,2,2,3
"1737",6,10,10,5,6,12
"1738",2,6,5,2,3,5
"1739",7,7,9,6,2,7
"1740",5,7,7,7,6,7
"1741",3,5,5,4,4,5
"1742",4,8,7,8,5,7
"1743",4,4,6,3,3,6
"1744",3,5,4,3,3,4
"1745",4,4,4,3,4,5
"1746",5,6,6,5,6,6
"1747",2,1,1,1,1,1
"1748",16,17,19,17,15,19
"1749",6,9,10,4,7,8
"1750",4,5,5,3,6,5
"1751",2,2,2,2,2,2
"1753",6,5,7,5,6,4
"1754",6,7,7,5,5,6
"1756",6,6,6,6,5,7
"1757",1,2,2,1,1,2
"1758",3,4,4,4,2,4
"1760",10,14,14,10,10,13
"1761",2,3,3,2,2,2
"1762",4,6,6,5,5,6
"1763",5,6,8,5,5,6
"1765",1,2,3,1,1,2
"1766",2,1,2,2,2,2
"1767",5,10,11,8,6,11
"1768",6,9,10,7,9,9
"1769",9,18,17,10,9,17
"1771",8,9,8,10,7,13
"1772",9,9,10,8,5,9
"1773",3,5,5,5,4,4
"1774",1,3,4,2,1,3
"1775",19,21,22,22,21,21
"1776",3,4,2,3,3,3
"1777",19,22,21,19,21,21
"1778",5,5,4,3,4,6
"1780",3,4,4,3,3,4
"1781",9,14,14,13,12,15
"1782",3,6,5,4,4,5
"1783",1,2,3,2,2,1
"1785",10,11,12,9,9,12
"1786",4,6,6,4,1,6
"1787",1,2,2,2,2,2
"1788",3,2,1,1,2,2
"1789",6,7,7,7,7,7
"1790",3,2,2,3,2,3
"1791",2,2,1,2,1,2
"1792",4,4,4,4,4,4
"1793",5,8,7,7,3,7
"1794",5,6,4,6,5,6
"1795",1,3,3,2,1,3
"1796",2,7,4,5,5,7
"1797",1,2,1,1,1,2
"1800",2,2,2,1,1,2
"1802",1,1,1,1,1,1
"1803",3,3,3,2,2,2
"1804",2,1,3,2,2,4
"1805",11,12,14,9,9,14
"1806",5,7,6,4,6,5
"1807",1,2,2,1,2,3
"1808",1,3,3,3,3,3
"1810",7,8,9,8,7,9
"1811",4,4,5,4,5,4
"1812",2,2,2,1,2,2
"1813",1,2,2,1,1,2
"1814",12,12,12,11,11,11
"1815",2,3,3,3,2,3
"1816",7,7,7,7,7,7
"1818",30,27,28,26,29,27
"1819",13,2,4,13,13,4
"1820",1,3,3,2,1,3
"1822",2,3,3,3,3,3
"1824",9,9,9,9,9,9
"1825",5,8,8,6,4,9
"1826",4,3,4,2,1,4
"1827",6,5,6,6,5,7
"1828",13,16,18,14,15,19
"1831",9,7,9,8,9,9
"1832",1,2,1,1,1,2
"1833",7,9,7,7,5,8
"1836",8,10,10,8,8,10
"1837",3,3,3,3,3,3
"1838",4,5,4,5,4,5
"1839",4,7,5,5,3,6
"1840",3,4,4,2,3,4
"1842",9,9,10,5,8,9
"1843",2,2,2,2,2,2
"1846",6,12,9,8,6,9
"1847",1,2,1,1,1,2
"1848",3,3,3,3,3,3
"1849",2,3,4,2,2,5
"1850",21,31,31,21,23,30
"1851",2,1,3,3,1,2
"1852",34,32,33,33,34,31
"1853",21,21,22,21,21,22
"1854",28,26,28,28,28,25
"1857",3,3,4,3,3,3
"1858",9,9,10,9,9,9
"1859",17,19,17,14,15,17
"1861",1,3,3,1,3,3
"1862",6,6,7,5,5,7
"1863",2,1,2,1,2,2
"1864",1,2,2,2,1,3
"1865",3,3,3,3,3,3
"1866",10,10,10,10,10,10
"1867",4,4,3,4,4,5
"1868",19,19,18,19,19,18
"1870",4,3,5,6,3,5
"1871",34,33,33,32,34,31
"1872",2,2,2,2,2,2
"1873",3,6,8,2,6,6
"1874",2,3,3,2,1,3
"1876",1,5,5,2,1,5
"1878",9,10,10,7,7,8
"1880",3,5,5,4,5,4
"1881",2,1,1,2,2,1
"1882",13,13,13,12,13,13
"1883",3,3,3,2,1,1
"1884",12,12,12,12,12,11
"1885",7,7,6,7,7,7
"1886",5,5,5,5,5,5
"1887",10,10,9,10,10,10
"1888",10,9,10,10,9,10
"1889",4,4,4,4,4,4
"1890",8,7,5,7,7,6
"1891",2,1,2,2,2,1
"1893",16,14,14,14,13,14
"1894",9,9,10,10,10,10
"1895",61,61,58,62,58,59
"1896",47,44,45,45,48,41
"1897",19,16,18,18,18,19
"1898",9,7,7,6,6,7
"1899",3,5,4,3,5,5
"1900",3,4,4,4,4,3
"1901",6,6,6,6,6,6
"1902",32,35,29,37,32,36
"1903",11,10,11,10,11,10
"1904",4,4,4,4,4,4
"1905",10,10,10,10,9,10
"1906",3,3,4,2,3,3
"1908",4,7,7,6,7,7
"1909",1,2,1,2,2,1
"1911",6,7,9,5,5,8
"1913",4,1,4,2,3,2
"1914",3,3,3,3,3,3
"1915",18,18,16,16,19,18
"1916",4,3,7,2,3,2
"1917",11,13,13,11,12,13
"1918",5,7,7,7,5,6
"1919",4,6,6,2,4,6
"1920",6,7,6,4,6,5
"1921",2,2,2,1,1,2
"1923",2,2,3,2,2,3
"1925",2,2,2,2,2,2
"1926",2,4,3,3,4,4
"1928",2,1,2,1,1,3
"1930",6,7,9,6,6,7
"1931",1,1,1,1,1,1
"1932",5,10,10,4,6,7
"1933",3,6,6,4,4,6
"1934",4,5,6,4,5,5
"1936",3,2,3,2,2,3
"1937",2,2,2,2,2,2
"1939",4,5,5,5,5,3
"1940",5,5,3,4,5,5
"1941",7,7,7,7,6,7
"1942",4,3,4,5,4,5
"1943",7,7,7,7,7,7
"1944",3,3,2,2,2,1
"1945",14,11,13,13,14,9
"1946",14,15,15,14,15,15
"1947",2,2,2,2,2,1
"1948",18,12,12,21,18,11
"1949",4,8,8,5,6,7
"1950",24,24,24,23,24,21
"1951",2,2,2,2,2,2
"1952",8,9,7,8,7,8
"1953",5,6,6,6,6,6
"1954",4,4,5,3,5,4
"1955",3,4,4,5,2,5
"1956",20,22,22,19,20,21
"1957",7,1,1,5,5,1
"1958",3,3,3,3,3,3
"1959",6,7,6,8,8,7
"1960",5,4,5,5,5,4
"1963",23,25,26,22,23,24
"1964",6,10,9,7,8,10
"1965",4,6,6,5,4,7
"1967",5,3,3,7,6,3
"1968",6,6,5,6,6,4
"1969",4,2,1,6,5,2
"1970",11,5,5,10,10,6
"1971",11,11,10,9,11,10
"1972",10,11,10,11,11,10
"1974",6,8,6,5,4,7
"1975",5,1,1,4,4,3
"1976",3,2,2,3,3,1
"1977",21,20,21,19,19,20
"1978",10,10,10,10,9,9
"1979",6,8,7,6,6,8
"1980",5,5,5,5,5,5
"1982",4,5,6,4,4,6
"1984",5,6,6,5,4,5
"1985",3,4,4,4,4,6
"1986",1,1,1,1,1,1
"1987",9,9,9,10,8,10
"1988",19,22,21,20,18,22
"1989",1,1,2,1,1,1
"1990",3,6,5,2,4,6
"1991",3,3,3,2,3,3
"1992",12,11,11,12,12,12
"1995",1,4,5,2,2,5
"1996",7,7,7,5,6,7
"1997",2,8,5,3,3,6
"1998",13,13,11,12,13,13
"2000",4,4,5,2,1,5
"2001",2,3,2,2,2,3
"2002",1,2,2,2,2,1
"2003",1,2,2,2,1,2
"2004",4,7,5,6,4,6
"2005",10,12,12,11,11,12
"2007",2,5,4,2,4,4
"2008",2,4,3,3,2,2
"2009",3,4,4,3,4,3
"2010",19,24,25,18,18,24
"2011",2,8,7,4,2,5
"2012",3,3,3,3,4,3
"2014",1,2,2,2,2,2
"2015",1,4,2,1,1,3
"2016",3,4,5,2,2,5
"2017",3,3,3,2,3,3
"2018",2,3,2,2,1,2
"2019",2,2,2,1,1,2
"2020",3,2,4,2,2,3
"2021",6,8,7,6,5,8
"2022",20,22,22,19,18,22
"2023",7,8,11,7,7,9
"2024",6,5,6,5,6,4
"2026",6,5,6,4,6,5
"2027",3,5,4,4,4,4
"2028",17,16,19,16,17,17
"2029",3,4,3,3,2,4
"2030",5,4,5,4,4,5
"2031",9,10,9,7,8,9
"2032",5,8,8,7,5,5
"2033",5,6,6,5,5,7
"2035",5,9,10,6,8,10
"2036",29,27,27,29,27,26
"2037",2,3,3,1,1,5
"2038",3,3,4,3,2,4
"2040",2,2,1,1,1,2
"2041",4,4,4,4,4,4
"2042",11,15,12,10,11,14
"2043",13,15,17,10,11,17
"2044",9,10,10,9,11,10
"2045",22,23,24,23,22,23
"2047",2,9,6,3,2,7
"2049",6,6,6,6,5,6
"2050",4,4,4,4,3,4
"2051",2,3,3,1,1,3
"2052",13,19,18,13,14,18
"2053",5,5,4,3,4,5
"2054",1,1,1,1,1,2
"2055",1,3,2,2,1,3
"2056",2,2,2,1,2,2
"2057",2,5,5,5,4,5
"2058",14,17,17,15,17,17
"2059",11,13,10,8,9,10
"2060",4,6,6,6,4,7
"2061",2,2,2,2,2,2
"2062",3,3,4,2,3,4
"2064",3,6,4,5,3,6
"2066",2,3,3,2,2,3
"2068",1,3,3,3,1,3
"2069",2,1,2,1,1,2
"2070",1,2,2,1,1,2
"2071",5,10,9,6,6,7
"2072",1,3,2,2,1,3
"2073",3,3,3,2,2,2
"2075",7,7,7,8,8,8
"2077",4,5,5,4,5,5
"2078",3,5,5,5,5,5
"2079",2,1,2,1,2,2
"2080",1,2,3,2,2,2
"2081",4,5,5,4,3,4
"2082",3,4,4,4,3,4
"2083",2,3,4,1,2,4
"2084",13,13,13,14,15,15
"2086",1,2,2,1,1,2
"2087",15,16,17,16,18,17
"2089",14,16,18,16,12,16
"2090",26,29,29,25,25,27
"2092",3,4,6,3,3,4
"2093",1,1,2,1,1,1
"2094",4,7,8,3,3,7
"2095",1,1,1,1,1,1
"2096",9,10,9,8,9,10
"2097",1,6,4,3,3,5
"2099",7,6,5,4,6,6
"2100",7,8,8,8,7,8
"2101",8,8,8,8,8,8
"2102",16,16,16,16,16,16
"2103",4,6,6,5,4,7
"2104",8,13,11,8,9,13
"2105",3,6,6,4,2,6
"2106",8,10,10,5,6,11
"2108",4,5,7,5,4,6
"2109",2,4,4,3,3,4
"2110",2,1,2,1,2,1
"2114",3,4,6,2,2,3
"2115",6,7,9,6,7,7
"2116",14,14,15,15,13,15
"2117",6,7,8,5,6,7
"2118",10,10,10,10,10,9
"2119",1,1,2,1,1,2
"2121",1,4,4,4,3,5
"2122",3,5,5,4,3,5
"2124",2,2,2,2,2,2
"2125",3,5,3,1,3,4
"2127",10,14,14,12,11,14
"2128",4,5,6,3,4,6
