"","number_of_peptides_A_3","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_B_1","number_of_peptides_A_1","number_of_peptides_B_2"
"1244",49,52,43,42,37,37
"1246",10,8,9,3,6,5
"1247",4,2,6,1,9,1
"1249",10,11,9,10,10,9
"1250",31,20,29,25,25,23
"1251",5,8,6,7,5,4
"1252",69,90,78,57,69,48
"1253",4,5,5,5,4,5
"1254",30,37,27,27,22,29
"1255",26,18,19,15,19,19
"1257",6,4,6,3,11,3
"1259",14,10,20,13,13,10
"1260",24,25,21,24,20,25
"1262",9,8,7,11,8,8
"1264",7,5,10,7,7,7
"1265",5,1,3,1,4,1
"1266",31,30,30,33,39,31
"1267",7,5,6,4,7,6
"1269",20,14,21,12,20,15
"1270",13,8,8,7,15,7
"1271",3,11,2,10,2,10
"1273",11,5,12,6,12,6
"1274",5,1,4,3,3,4
"1275",30,20,29,14,25,17
"1276",2,1,2,1,2,1
"1278",9,4,8,8,13,8
"1279",33,41,34,37,33,37
"1280",21,14,24,15,20,21
"1282",12,8,12,9,10,10
"1283",3,5,3,6,5,4
"1284",24,20,29,19,31,24
"1285",4,7,6,8,6,6
"1286",23,16,23,13,23,16
"1287",35,29,33,26,34,28
"1288",2,4,7,6,7,7
"1289",9,6,9,5,4,6
"1290",53,55,45,56,45,56
"1291",1,1,2,2,1,2
"1292",7,6,6,8,6,5
"1293",20,8,21,10,22,8
"1295",34,25,27,31,33,23
"1296",73,49,83,56,71,53
"1297",10,5,9,5,7,7
"1298",8,6,8,8,7,7
"1299",20,12,21,7,17,9
"1300",8,9,5,5,4,4
"1302",16,8,16,11,14,7
"1303",1,18,1,15,3,12
"1304",49,37,48,31,49,32
"1305",43,21,39,18,38,24
"1306",14,10,16,12,9,12
"1307",15,14,12,14,15,14
"1309",12,11,14,13,14,15
"1311",1,3,24,1,3,1
"1312",7,9,11,8,7,9
"1313",6,2,5,3,4,2
"1314",1,1,1,1,2,1
"1316",19,19,14,12,15,17
"1317",8,11,8,7,8,8
"1318",69,43,70,47,69,42
"1319",4,6,8,3,5,4
"1321",10,15,12,8,11,10
"1322",3,3,2,2,3,2
"1324",15,8,14,11,16,9
"1325",18,12,12,8,10,7
"1326",1,3,2,4,2,2
"1327",12,7,12,10,12,3
"1328",1,1,1,1,1,2
"1330",10,5,9,6,10,4
"1331",14,16,12,14,19,14
"1332",8,1,6,5,6,3
"1333",32,22,32,16,26,20
"1334",15,22,17,25,18,24
"1335",59,81,60,79,68,75
"1336",9,10,10,10,10,11
"1337",13,9,13,5,12,7
"1338",38,21,34,24,33,22
"1339",27,26,20,19,20,26
"1340",71,81,70,76,60,80
"1341",12,13,19,13,15,17
"1342",3,4,7,3,5,3
"1343",11,11,11,12,9,10
"1344",14,21,9,15,12,13
"1345",27,28,25,28,25,30
"1346",80,95,76,73,77,83
"1347",20,12,18,10,16,14
"1348",7,5,7,7,7,5
"1349",32,31,28,30,28,28
"1350",6,6,7,6,6,4
"1351",12,12,14,14,12,13
"1352",34,31,30,27,32,26
"1353",25,30,31,34,30,32
"1354",14,9,9,5,16,6
"1355",18,17,16,16,12,19
"1356",2,6,3,4,3,5
"1357",6,7,6,6,6,8
"1358",12,6,13,9,15,3
"1360",79,48,79,51,73,43
"1363",1,8,1,8,1,9
"1364",6,3,6,1,9,2
"1365",50,52,40,48,49,46
"1366",14,9,15,14,14,12
"1367",20,19,23,32,28,25
"1368",10,6,5,5,5,4
"1369",5,7,6,6,4,4
"1370",5,8,5,4,6,7
"1371",60,43,50,38,61,43
"1372",2,1,1,2,3,2
"1373",10,3,7,3,7,2
"1374",7,6,5,6,5,7
"1375",21,24,21,24,20,25
"1376",7,10,10,6,7,9
"1379",48,32,42,35,37,28
"1380",3,6,1,8,2,9
"1381",2,1,1,1,1,5
"1382",26,28,26,27,26,26
"1384",16,12,14,11,15,11
"1385",4,3,6,4,6,2
"1386",2,1,2,1,2,1
"1388",4,4,4,4,2,3
"1389",15,16,13,16,11,17
"1390",5,5,5,7,3,5
"1391",4,2,2,2,2,1
"1392",7,5,5,7,5,5
"1393",5,2,4,2,5,1
"1396",2,2,2,1,0,1
"1399",9,6,9,6,8,3
"1400",12,5,12,5,7,5
"1402",4,2,4,2,4,2
"1403",1,1,1,3,2,1
"1404",9,5,9,4,8,6
"1405",20,12,18,15,15,13
"1406",4,6,8,6,7,6
"1407",7,6,5,9,6,3
"1408",56,65,57,64,53,54
"1409",11,12,11,12,14,8
"1410",8,7,6,6,7,6
"1412",9,4,5,2,9,1
"1413",11,14,10,18,12,16
"1416",7,8,10,6,9,7
"1417",7,7,9,5,8,6
"1418",20,9,19,13,20,14
"1419",18,16,13,18,15,17
"1420",9,8,4,6,10,5
"1421",4,5,4,4,3,5
"1423",4,3,2,3,4,3
"1424",124,144,120,129,125,131
"1428",13,15,12,13,9,10
"1429",2,0,4,1,0,6
"1432",21,10,20,11,16,8
"1434",3,3,5,1,4,2
"1435",25,25,23,23,23,25
"1436",3,2,1,2,6,2
"1438",9,13,12,10,8,14
"1439",19,14,13,12,16,14
"1440",18,16,10,15,11,11
"1441",7,5,7,3,5,3
"1442",14,21,17,21,16,18
"1443",1,6,3,4,2,4
"1444",17,13,14,13,10,10
"1445",26,26,19,27,20,24
"1446",35,35,27,23,25,30
"1447",80,86,73,76,61,70
"1448",0,6,0,4,2,2
"1449",46,35,46,28,42,26
"1452",4,3,3,3,4,2
"1453",10,9,8,6,8,8
"1454",26,14,28,15,23,13
"1455",63,60,60,48,62,47
"1456",12,9,14,9,17,8
"1459",7,6,11,8,9,6
"1460",37,35,35,42,38,31
"1461",2,7,1,8,1,8
"1462",4,16,4,16,1,16
"1463",8,10,5,7,5,7
"1464",54,52,54,51,55,57
"1466",16,19,16,18,39,18
"1467",47,34,43,34,43,30
"1469",15,18,16,14,11,18
"1471",105,124,102,110,109,116
"1473",21,16,18,21,19,21
"1476",20,15,20,14,18,11
"1478",10,11,12,14,7,8
"1480",8,8,9,8,11,10
"1481",11,7,11,4,8,3
"1482",14,13,16,13,13,12
"1485",68,69,64,71,62,63
"1486",3,2,4,25,38,3
"1487",31,21,28,17,30,20
"1488",11,12,7,14,12,10
"1489",31,33,28,29,28,30
"1491",7,4,6,4,8,1
"1492",25,19,25,19,20,19
"1494",5,1,7,0,9,1
"1495",3,3,1,3,3,3
"1496",23,29,22,37,30,29
"1497",46,50,39,46,40,52
"1498",1,3,2,2,1,2
"1499",4,13,12,13,11,14
"1500",2,2,2,2,1,1
"1501",36,34,32,35,27,33
"1502",46,49,50,52,46,52
"1504",14,8,15,6,13,8
"1506",26,37,23,24,26,26
"1507",8,6,6,8,2,1
"1510",9,5,6,5,9,2
"1511",7,5,4,3,9,3
"1512",5,5,8,5,5,6
"1514",3,4,2,3,3,3
"1516",3,3,7,4,8,5
"1517",6,3,6,5,6,1
"1519",4,12,5,12,9,14
"1523",13,9,8,11,10,7
"1524",20,31,23,23,24,32
"1525",10,6,2,2,9,2
"1528",13,11,12,5,20,6
"1529",14,6,14,6,10,6
"1531",28,24,21,23,21,28
"1532",4,9,6,8,7,6
"1533",8,8,9,9,9,8
"1534",15,17,16,14,17,18
"1535",5,17,11,20,18,18
"1536",22,24,24,24,25,30
"1537",10,9,9,9,7,8
"1541",20,14,18,11,13,14
"1542",1,1,1,1,1,3
"1543",53,64,46,51,41,52
"1544",8,5,10,3,5,5
"1545",13,7,11,5,7,6
"1548",5,7,10,5,6,8
"1549",3,2,3,3,3,3
"1550",7,1,5,4,5,1
"1551",7,6,10,10,7,7
"1552",9,2,6,9,6,8
"1557",11,4,9,3,7,6
"1561",18,21,17,17,17,18
"1563",3,4,5,1,5,4
"1564",21,14,22,12,21,13
"1565",4,2,4,3,1,2
"1567",1,4,1,4,3,3
"1568",20,11,16,12,16,13
"1570",19,32,16,39,15,30
"1573",10,6,9,6,5,5
"1575",5,2,6,1,4,1
"1577",6,5,6,2,8,5
"1578",10,3,10,3,9,3
"1581",3,1,3,2,2,2
"1583",14,12,12,14,14,13
"1584",60,48,73,41,57,43
"1585",60,65,50,68,56,60
"1586",6,3,9,5,5,4
"1588",28,27,25,22,23,26
"1589",18,19,16,15,15,15
"1590",14,15,15,16,12,13
"1591",16,18,19,18,16,18
"1593",2,2,1,2,1,1
"1594",42,49,51,51,42,49
"1595",19,20,18,20,17,21
"1597",27,15,1,13,22,13
"1598",25,15,23,17,25,19
"1599",16,18,11,15,15,20
"1600",31,35,32,26,28,29
"1601",14,10,12,13,11,14
"1602",2,2,1,1,1,3
"1603",22,17,26,16,13,29
"1604",40,53,44,42,47,49
"1605",43,26,33,27,43,22
"1606",55,53,48,43,46,45
"1607",39,47,42,50,46,55
"1608",57,55,52,55,50,58
"1610",2,1,2,2,2,1
"1612",21,7,17,10,17,10
"1613",13,8,15,11,15,11
"1614",9,6,8,6,8,7
"1615",13,15,10,11,10,11
"1617",3,2,2,2,3,3
"1618",1,7,1,4,2,4
"1623",82,86,84,82,79,86
"1624",8,11,6,10,4,7
"1627",16,11,16,8,13,8
"1628",7,2,7,2,5,1
"1629",11,20,8,19,6,19
"1631",22,16,20,17,23,17
"1632",24,28,18,23,18,28
"1633",11,5,9,6,9,6
"1634",24,23,23,17,19,21
"1635",13,11,9,12,12,10
"1636",3,3,5,3,6,1
"1637",65,71,56,67,47,61
"1638",44,50,38,48,44,41
"1641",37,38,30,36,37,34
"1642",17,14,12,13,12,13
"1644",3,2,2,1,2,1
"1646",27,24,23,24,20,21
"1647",10,12,11,12,9,10
"1648",6,5,8,8,4,7
"1649",17,20,14,15,13,14
"1651",14,13,16,10,15,14
"1652",13,10,14,11,13,8
"1655",0,3,0,0,0,1
"1656",3,3,4,3,2,5
"1658",24,21,19,26,21,23
"1659",19,21,24,24,22,15
"1660",28,30,24,27,23,28
"1661",6,3,5,3,4,2
"1663",2,2,6,2,6,1
"1664",11,7,9,2,7,6
"1665",10,8,12,4,10,7
"1667",22,11,21,16,19,16
"1668",31,30,30,30,27,31
"1671",3,4,5,3,5,4
"1672",2,2,3,2,1,2
"1673",20,24,23,21,23,26
"1674",7,6,6,5,7,6
"1676",81,72,70,57,62,64
"1678",3,3,2,5,5,2
"1679",46,45,36,44,39,41
"1680",21,17,28,19,28,22
"1682",15,9,12,6,13,13
"1683",12,14,19,12,14,11
"1684",7,7,11,13,7,10
"1685",25,27,21,35,23,33
"1686",11,4,6,6,9,4
"1687",8,7,12,5,8,8
"1688",5,2,2,3,4,5
"1689",16,11,12,14,13,14
"1690",63,64,60,61,61,65
"1691",59,59,44,50,47,58
"1692",9,8,8,9,9,9
"1694",21,19,16,21,18,20
"1695",3,6,2,5,4,4
"1696",22,14,19,18,19,22
"1697",10,8,10,11,10,13
"1698",21,20,16,21,14,20
"1699",18,19,16,21,16,21
"1700",39,37,35,42,31,38
"1701",23,39,24,27,24,36
"1702",20,20,19,8,11,21
"1703",3,5,5,7,6,6
"1704",11,15,9,13,14,16
"1705",11,15,9,7,15,12
"1706",13,16,13,13,13,12
"1708",12,8,10,10,12,15
"1709",28,34,33,31,30,35
"1711",22,8,17,9,18,9
"1712",5,7,8,8,5,4
"1713",3,3,3,3,3,5
"1716",7,14,9,10,18,11
"1717",7,5,9,2,13,2
"1718",10,8,10,10,12,7
"1721",22,22,21,19,17,17
"1722",24,26,27,25,30,22
"1724",27,21,20,19,20,18
"1726",2,1,2,4,2,3
"1727",4,5,5,4,3,3
"1728",18,18,20,17,15,17
"1729",11,14,9,15,7,10
"1730",15,19,11,15,14,12
"1731",15,11,15,8,12,13
"1732",5,4,6,3,7,3
"1733",9,6,9,4,8,5
"1735",11,5,15,8,16,7
"1736",9,6,6,8,8,6
"1737",50,39,44,34,45,33
"1740",18,12,20,11,18,10
"1741",28,28,25,26,27,29
"1742",2,1,3,2,3,2
"1743",7,6,6,4,8,5
"1744",30,27,25,28,23,28
"1745",3,5,5,2,4,4
"1746",62,66,61,64,49,62
"1747",26,32,28,28,22,23
"1748",60,70,45,65,57,59
"1749",96,97,83,86,88,92
"1750",70,81,68,75,61,73
"1751",7,6,3,6,5,5
"1752",13,6,12,4,11,7
"1753",24,26,24,31,24,25
"1755",2,1,2,2,2,2
"1757",9,9,8,6,9,5
"1759",11,7,8,7,11,8
"1760",12,3,8,1,12,3
"1761",5,4,4,3,4,2
"1762",13,14,16,16,16,10
"1763",132,100,128,87,131,103
"1764",5,14,24,16,28,19
"1766",9,1,5,2,4,1
"1768",5,1,4,2,4,4
"1770",4,2,3,3,5,1
"1771",10,3,10,2,8,1
"1772",7,4,6,7,8,4
"1773",7,4,5,4,6,3
"1774",8,7,12,4,13,7
"1776",8,4,8,4,6,3
"1777",3,4,4,2,4,4
"1779",9,9,6,7,7,1
"1780",3,1,2,1,1,1
"1781",27,19,18,15,27,20
"1782",11,7,7,3,9,5
"1785",4,2,3,1,4,2
"1786",5,6,7,3,6,6
"1787",1,1,1,1,1,1
"1788",15,13,11,11,15,8
"1790",5,7,7,8,10,5
"1791",6,1,4,1,5,3
"1792",16,13,22,11,17,10
"1793",5,2,6,5,4,3
"1795",6,5,7,4,6,3
"1796",12,7,11,7,11,7
"1801",2,2,2,2,2,1
"1802",12,4,8,5,6,4
"1803",14,7,12,10,13,9
"1805",17,5,20,8,18,9
"1807",19,8,15,14,19,8
"1808",18,10,16,10,13,11
"1811",38,26,32,21,33,23
"1813",41,29,46,33,43,27
"1814",8,2,8,4,5,5
"1816",11,8,7,9,9,6
"1817",17,9,19,9,19,11
"1818",7,5,6,5,6,5
"1819",2,2,3,2,5,3
"1820",21,15,18,14,22,11
"1821",4,1,4,2,5,2
"1824",6,8,9,5,8,9
"1825",3,1,2,1,2,1
"1828",5,2,3,2,3,1
"1830",12,1,7,6,10,3
"1831",5,6,4,7,3,5
"1833",5,5,9,2,9,2
"1835",3,2,4,2,2,2
"1841",19,20,21,18,21,20
"1844",19,11,19,15,20,12
"1845",0,1,1,1,1,0
"1846",9,2,6,3,6,2
"1847",4,3,7,2,4,3
"1848",6,4,3,3,2,3
"1850",27,2,19,15,20,2
"1851",4,2,3,1,2,2
"1854",18,14,12,12,13,15
"1855",3,1,3,3,3,2
"1856",26,22,20,27,24,26
"1859",26,31,29,31,30,39
"1865",18,10,13,16,12,12
"1866",10,3,5,5,10,5
"1867",4,12,3,4,6,3
"1868",13,11,16,5,15,7
"1869",24,18,25,13,21,19
"1871",1,0,0,1,1,0
"1872",27,26,29,27,28,27
"1873",8,7,9,6,9,5
"1875",6,2,6,2,4,2
"1876",7,6,8,8,14,7
"1877",3,5,3,2,4,3
"1878",8,2,10,3,6,6
"1879",6,3,8,4,5,1
"1880",3,3,5,3,6,1
"1881",6,6,4,1,5,5
"1882",19,7,20,8,11,7
"1884",36,22,41,1,4,24
"1888",11,4,10,6,16,4
"1890",6,3,4,2,6,3
"1892",33,23,37,15,29,12
"1894",59,65,56,54,47,66
"1895",31,30,25,27,26,35
"1896",38,43,37,39,37,42
"1900",4,1,9,1,4,3
"1902",15,12,17,11,17,14
"1903",21,8,24,16,23,13
"1905",5,2,4,3,7,2
"1907",10,6,7,1,5,4
"1908",8,2,5,2,5,2
"1909",79,71,69,57,62,62
"1910",0,0,1,0,1,0
"1911",38,30,41,29,36,33
"1912",2,5,2,6,4,2
"1913",31,39,34,34,33,36
"1915",8,9,7,10,12,6
"1916",67,74,56,63,57,67
"1918",9,6,8,5,8,3
"1920",2,1,1,1,1,1
"1921",6,3,8,2,3,1
"1924",11,5,9,5,6,5
"1926",3,4,6,5,5,1
"1929",26,24,26,26,23,29
"1931",18,16,12,17,16,14
"1932",7,6,6,5,7,5
"1933",6,9,7,9,6,6
"1934",17,17,16,13,14,15
"1935",11,11,8,11,14,13
"1936",14,11,6,7,6,9
"1937",6,9,6,8,5,8
"1940",18,22,20,19,17,22
"1941",13,13,10,11,14,16
"1942",79,89,67,86,61,73
"1943",74,75,78,68,69,74
"1944",14,19,22,21,20,17
"1945",8,12,9,9,8,9
"1946",7,5,4,8,1,5
"1947",8,6,6,4,6,4
"1948",17,22,19,20,19,20
"1949",37,39,30,48,42,43
"1950",12,21,12,14,12,14
"1951",9,9,9,7,11,7
"1952",9,8,9,5,9,9
"1953",4,2,3,2,2,2
"1954",5,6,7,4,6,4
"1958",9,4,11,5,10,7
"1961",4,4,5,4,3,3
"1962",28,31,32,30,28,31
"1964",18,11,19,14,17,12
"1965",7,7,10,4,13,5
"1967",10,4,9,3,9,3
"1968",2,1,3,1,2,1
"1974",4,2,4,3,2,3
"1976",3,1,3,1,2,1
"1977",15,5,11,5,11,9
"1978",3,3,2,3,3,2
"1979",14,10,12,7,1,11
"1980",11,5,11,4,8,5
"1982",6,3,8,2,8,6
"1983",8,5,10,4,8,4
"1986",5,3,6,2,5,1
"1991",6,7,3,4,2,4
"1992",4,5,1,5,4,3
"1993",8,6,9,3,7,4
"1994",6,10,5,11,13,9
"1995",11,10,14,12,16,10
"1996",5,5,3,4,3,2
"1997",11,14,14,16,15,17
"1998",42,44,34,38,36,43
"2000",13,28,13,25,13,29
"2001",9,8,10,7,9,5
"2002",32,37,31,25,30,38
"2003",19,16,14,13,13,12
"2004",9,13,9,10,9,10
"2006",7,7,7,4,7,7
"2007",4,3,5,4,1,3
"2008",7,7,10,6,4,7
"2010",37,29,38,27,40,28
"2013",7,7,6,6,5,6
"2014",8,10,8,10,9,8
"2015",7,7,7,5,2,7
"2016",4,2,1,1,1,1
"2017",2,3,3,2,3,3
"2018",64,37,50,37,63,37
"2019",8,5,11,5,11,6
"2020",11,11,15,6,9,9
"2023",8,7,6,9,5,7
"2027",12,20,7,16,10,18
"2028",32,45,26,31,34,32
"2029",29,37,26,31,29,35
"2031",9,6,9,6,9,6
"2034",56,36,46,33,44,32
"2035",26,16,22,16,28,15
"2036",38,28,42,27,42,30
"2037",14,13,10,8,7,7
"2038",1,1,1,1,2,1
"2040",5,4,5,5,7,4
"2042",7,9,5,1,8,5
"2043",8,2,7,4,7,4
"2044",9,3,3,2,2,2
"2046",8,3,9,2,6,2
"2047",35,23,35,24,33,27
"2050",1,6,3,7,11,8
"2051",11,5,7,6,8,5
"2052",2,3,3,3,2,3
"2053",19,25,16,17,15,20
"2054",7,1,4,2,3,3
"2057",6,5,5,6,9,4
"2058",6,3,7,1,5,1
"2059",28,29,27,30,25,29
"2062",6,4,5,1,4,1
"2063",1,0,1,1,1,1
"2064",4,3,4,2,4,3
"2065",4,3,2,1,2,2
"2066",2,1,3,1,2,1
"2067",12,4,11,5,9,3
"2068",1,1,3,1,3,1
"2069",19,14,20,15,17,14
"2070",3,1,6,2,5,3
"2071",3,1,6,3,5,2
"2072",3,1,3,1,4,1
"2073",6,2,7,5,7,6
"2074",34,19,26,23,30,17
"2075",10,6,7,4,10,4
"2079",7,6,6,5,7,6
"2082",3,1,2,3,2,1
"2083",11,1,7,1,5,2
"2085",3,2,6,4,5,1
"2086",6,6,9,4,7,4
"2089",5,5,3,3,3,4
"2090",11,4,14,6,16,6
"2091",39,17,31,20,29,23
"2093",16,8,12,6,11,7
"2094",11,9,8,6,6,9
"2096",8,6,5,3,3,4
"2097",6,6,7,3,7,4
"2098",26,27,22,26,22,24
"2099",4,3,5,4,3,2
"2102",4,1,2,3,3,3
"2103",20,9,10,8,14,6
"2104",8,3,8,7,8,2
"2105",8,5,9,3,7,2
"2106",14,3,11,6,13,6
"2107",72,85,78,87,79,88
"2110",8,2,6,2,4,1
"2114",13,8,14,12,15,10
"2115",22,14,23,12,14,14
"2116",25,11,17,12,27,8
"2117",15,7,13,10,11,10
"2118",42,36,51,31,42,36
"2119",10,3,9,1,7,3
"2121",2,2,5,2,4,2
"2124",27,17,21,11,20,13
"2125",4,1,5,1,5,3
"2128",6,2,7,2,6,2
"2129",28,26,21,22,20,21
"2130",16,10,17,9,15,10
"2132",9,1,7,2,11,1
"2134",2,3,2,1,3,2
"2137",10,4,8,6,8,3
"2143",3,2,1,1,4,1
"2144",10,5,9,7,7,5
"2145",3,2,6,1,4,1
"2150",12,11,13,10,11,8
"2152",6,3,6,3,7,5
"2153",4,2,4,2,3,1
"2154",5,4,4,3,2,3
"2155",8,6,10,4,10,6
"2156",4,3,6,5,5,3
"2157",6,1,5,5,6,3
"2158",18,26,21,23,20,26
"2161",23,20,19,15,21,14
"2162",24,16,23,13,24,12
"2164",36,24,42,24,37,27
"2166",5,3,5,2,6,1
"2170",7,6,10,2,8,4
"2171",22,15,22,14,24,13
"2172",27,20,27,16,26,16
"2173",10,3,6,3,8,1
"2174",7,6,6,2,7,3
"2175",17,15,22,14,19,14
"2176",16,16,13,19,17,17
"2177",57,58,46,55,47,57
"2178",4,6,9,3,6,4
"2179",14,7,11,8,14,7
"2180",10,2,6,4,7,3
"2181",14,7,13,5,13,4
"2183",5,2,5,2,3,2
"2191",7,4,4,5,9,2
"2192",13,7,10,3,8,4
"2193",23,15,26,22,33,15
"2194",10,5,10,2,11,4
"2195",25,27,25,24,26,26
"2198",5,4,9,3,7,2
"2199",6,4,5,4,11,4
"2201",4,2,2,5,5,2
"2202",5,2,6,2,2,3
"2204",20,14,18,12,18,9
"2205",4,3,8,4,11,3
"2207",20,24,17,19,15,21
"2208",7,2,5,4,4,3
"2211",12,7,16,11,12,6
"2213",2,2,3,2,3,2
"2214",12,4,16,4,12,8
"2215",37,23,32,21,28,12
"2216",6,3,10,6,7,5
"2217",4,4,7,8,6,3
"2218",3,4,5,3,3,2
"2219",11,9,12,14,16,8
"2221",23,10,16,8,16,8
"2225",6,2,6,1,3,1
"2226",6,3,9,3,7,3
"2227",11,2,10,4,9,5
"2230",11,10,15,8,12,7
"2231",5,2,5,3,6,1
"2234",8,4,7,8,7,6
"2235",2,2,5,2,3,2
"2236",5,3,4,3,5,4
"2240",4,3,6,9,6,8
"2242",25,16,24,16,23,12
"2243",16,13,14,7,13,7
"2246",6,2,4,2,4,1
"2249",5,2,6,3,4,2
"2250",6,5,6,7,6,5
"2251",75,52,71,49,5,47
"2252",9,5,10,5,11,6
"2253",3,2,2,1,3,3
"2255",14,5,10,8,9,5
"2257",6,1,5,2,1,2
"2258",20,16,22,15,24,13
"2260",10,4,10,6,9,5
"2261",8,9,14,14,10,9
"2262",45,58,44,51,49,44
"2264",6,6,9,4,8,7
"2265",9,2,5,6,5,2
"2266",1,1,2,1,1,2
"2267",6,1,3,2,3,1
"2274",10,4,6,4,10,6
"2275",5,3,5,3,5,4
"2277",15,15,14,14,16,15
"2278",6,2,5,2,7,2
"2280",2,3,3,3,5,2
"2281",16,7,11,4,8,5
"2283",10,6,4,3,6,4
"2285",4,3,4,3,4,2
"2286",14,8,14,4,12,5
"2290",5,4,6,4,3,3
"2291",5,5,6,5,4,3
"2292",8,7,13,6,11,9
"2293",4,1,4,1,3,1
"2296",5,3,2,1,3,2
"2300",5,4,6,3,8,5
"2301",5,3,5,2,5,2
"2303",6,1,3,3,3,4
"2304",5,5,2,2,1,6
"2306",14,15,16,17,10,11
"2307",4,5,6,6,4,3
"2308",36,28,32,22,34,24
"2309",4,3,5,5,2,2
"2310",9,5,9,5,7,8
"2311",20,23,23,21,22,25
"2312",62,67,56,65,63,60
"2313",5,8,9,5,10,7
"2314",8,8,11,9,7,9
"2315",25,28,24,32,21,29
"2316",5,2,6,2,5,2
"2317",6,2,3,3,3,2
"2320",9,9,12,1,9,5
"2321",3,3,4,4,6,4
"2322",4,4,4,4,4,4
"2323",21,27,24,29,28,25
"2325",5,7,5,5,5,6
"2326",9,6,5,7,9,7
"2327",8,16,7,8,8,12
"2329",3,4,3,2,4,1
"2330",12,6,13,14,11,13
"2331",41,41,38,38,34,48
"2332",50,51,55,61,56,53
"2333",32,25,34,26,28,23
"2334",17,10,13,5,14,7
"2336",2,3,3,2,3,2
"2338",21,21,23,14,20,14
"2339",19,13,13,10,12,12
"2340",16,8,12,5,12,10
"2341",19,13,25,12,19,9
"2346",7,1,6,2,3,4
"2347",9,7,8,5,9,6
"2348",12,7,11,6,11,5
"2349",18,11,18,13,16,10
"2350",1,0,1,1,1,1
"2351",8,11,10,11,9,11
"2352",23,20,25,23,25,25
"2353",7,3,3,1,2,3
"2354",9,12,5,10,8,9
"2355",26,27,28,24,24,28
"2356",41,36,28,33,36,40
"2357",7,10,5,6,7,6
"2359",15,13,13,11,8,12
"2360",1,6,2,7,7,3
"2361",13,16,9,17,16,13
"2362",4,4,3,2,2,4
"2364",6,8,7,11,7,9
"2366",81,94,86,95,89,92
"2367",1,5,6,2,2,3
"2368",4,5,5,5,5,7
"2372",3,2,3,4,1,5
"2374",4,4,1,2,3,1
"2376",5,5,9,6,7,5
"2380",13,13,15,16,9,13
"2383",65,76,69,63,61,64
"2384",19,24,21,23,16,20
"2385",5,8,8,5,7,7
"2387",2,2,1,2,2,5
"2388",9,11,8,12,12,8
"2389",41,45,40,46,48,36
"2390",26,28,19,23,14,24
"2392",7,4,5,2,3,2
"2395",3,3,1,0,2,0
"2396",2,2,5,1,5,2
"2397",12,3,18,5,11,5
"2398",5,4,6,3,4,2
"2399",6,3,4,2,7,2
"2400",10,7,5,3,9,5
"2403",11,4,9,6,10,4
"2404",7,2,6,2,7,3
"2406",15,10,22,9,12,12
"2409",32,34,19,29,20,29
"2410",7,10,7,4,6,6
"2413",27,25,29,23,25,23
"2414",5,7,9,13,10,9
"2415",23,22,23,25,28,23
"2416",2,1,2,3,5,1
"2419",20,20,18,18,17,19
"2420",3,6,6,8,8,5
"2421",15,14,14,12,15,10
"2422",5,5,6,3,4,4
"2423",36,36,28,32,27,31
"2424",4,4,4,5,5,5
"2425",35,20,31,20,28,20
"2426",16,20,18,20,18,19
"2427",19,18,19,17,15,18
"2428",3,17,3,15,2,13
"2429",34,23,30,25,32,23
"2430",14,8,22,8,17,7
"2432",10,5,13,4,12,4
"2436",6,11,6,11,8,7
"2437",47,52,44,41,37,45
"2438",12,10,14,13,6,10
"2439",10,11,9,11,8,13
"2440",13,10,11,12,11,14
"2441",12,16,5,8,10,14
"2442",21,22,15,19,18,23
"2443",5,4,4,4,3,2
"2444",22,23,31,28,25,21
"2445",3,3,5,4,4,5
"2446",37,48,42,46,37,46
"2448",3,2,2,2,2,4
"2450",4,2,3,2,1,2
"2451",4,4,3,3,2,4
"2453",1,1,1,2,1,3
"2455",18,9,3,6,3,2
"2457",10,5,10,4,9,6
"2461",3,0,4,3,3,1
"2463",20,10,13,5,18,4
"2464",22,12,21,9,15,14
"2467",17,15,19,13,17,15
"2468",2,2,4,3,3,2
"2472",11,4,7,4,6,4
"2473",3,2,4,2,2,3
"2474",15,9,12,10,13,4
"2475",4,1,4,2,4,2
"2477",3,1,2,2,2,1
"2479",20,16,17,11,18,13
"2481",4,3,6,2,3,2
"2482",10,8,8,9,11,6
"2484",8,9,8,15,7,9
"2485",28,30,30,30,25,24
"2488",31,31,27,31,31,35
"2489",10,4,11,1,8,3
"2490",2,2,2,2,3,1
"2492",10,12,9,10,8,8
"2493",7,5,9,6,8,3
"2494",13,13,9,9,10,12
"2495",4,5,6,4,5,6
"2496",22,20,20,28,23,22
"2497",21,9,16,14,22,15
"2498",1,3,3,3,1,5
"2502",6,5,6,9,5,4
"2504",18,15,20,15,13,15
"2506",10,11,5,8,8,8
"2507",6,8,8,6,8,6
"2508",7,2,5,2,7,1
"2509",12,11,13,13,11,10
"2511",10,1,3,1,1,2
"2512",11,9,15,6,9,10
"2513",5,3,6,3,4,2
"2514",21,22,20,17,23,16
"2515",6,8,5,11,8,7
"2516",64,72,58,66,55,69
"2517",4,5,5,3,3,4
"2518",6,7,4,7,4,4
"2520",18,21,13,16,16,17
"2521",8,8,9,5,8,8
"2523",3,2,5,2,3,2
"2525",7,6,7,8,8,7
"2526",8,6,8,8,6,8
"2527",4,5,5,2,3,3
"2528",19,10,9,7,10,5
